imun,ent,nom_ent,mun,nom_mun,pobtot,pob_m,pob_f,pob60,pob60_m,pob60_f,pob00_24,pob25_59,i_envejeci,p_pob_m,p_pob_f,p_pob60,p_pob60_m,p_pob60_f,p_pob00_24,p_pob25_59,afrodesc,hlengua,p_afrodesc,p_hlengua,asis3_5,asis3_5m,asis3_5f,asis6_11,asis6_11m,asis6_11f,asis12_14,asis12_14m,asis12_14f,asis15_17,asis18_24,prom_esc,p_asis3_5,p_asis3_5m,p_asis3_5f,p_asis6_11,p_asis611m,p_asis611f,p_asis1214,p_asi1214m,p_asi1214f,p_asis1517,p_asis1824,pea,pea_m,pea_f,ocupada,ocupada_m,ocupada_f,tra_omun,p_pea,p_pea_m,p_pea_f,p_ocupada,p_ocupadam,p_ocupadaf,p_tra_omun,no_afilia,afilia,ssa,imss,issste,issste_e,pemex,seg_priv,otr_inst,p_noafilia,p_afilia,p_ssa,p_imss,p_issste,p_issstee,p_pemex,p_seg_priv,p_otr_inst,vivparthab,ocupantes,pared_d,techo_d,tierra,ocup_dorm,carbon,electric,no_agua,no_excus,no_drena,no_l_d_a,refri,radio,tv,celular,internet,p_pared_d,p_techo_d,p_tierra,p_carbon,p_electric,p_no_agua,p_no_excus,p_no_drena,p_no_lda,p_refri,p_radio,p_tv,p_celular,p_internet,dens_consh,dens_camah,td_neumoni,td_influen,td_corazon,td_diabete,td_hiperte,td_respcro,p_obes20,p_obes60,p_hipert20,p_hipert60,p_diabet20,p_diabet60,p_obht20,p_obht60,p_sobhtd20,tot_est,est_e_a,est_e_p,est_n_e_a,est_n_e_p,tot_p_o,po_e_a,po_e_p,po_n_e_a,po_n_e_p,tot_po_h,tot_p_h_e_a,tot_p_h_e_p,tot_p_h_n_e_a,tot_p_h_n_e_p,tot_po_m,tot_p_m_e_a,tot_p_m_e_p,tot_p_m_n_e_a,tot_p_m_n_e_p
00000,00,Estados Unidos Mexicanos,,Total,119530753,58056133,61474620,12436321,5750299,6686022,54189673,52817990,26.1,48.57,51.43,10.4,46.24,53.76,45.34,44.19,1381853,7382785,1.16,6.52,4134339,2085665,2048674,12921177,6547702,6373475,6358021,3198257,3159764,4730969,4711637,9.16,62.99,31.78,31.21,97.7,49.51,48.19,93.31,46.94,46.37,73.2,31.46,46992480,30714078,16278402,45085410,29245518,15839892,6675657,50.26,32.85,17.41,48.22,31.28,16.94,7.14,20621597,98224540,49018903,38488615,6461565,1123769,1129739,3210771,1522022,17.25,82.18,49.9,39.18,6.58,1.14,1.15,3.27,1.55,31949709,3.74,478174,474331,1133629,1.86,4724814,31516307,1628319,791233,1939371,108223,27196822,23362565,29681837,25088926,10517893,1.5,1.48,3.55,14.79,98.64,5.1,2.48,6.07,0.34,85.12,73.12,92.9,78.53,32.92,,,,,,,,,36.07,33.75,18.38,42.37,10.32,25.09,10.52,19.25,5.15,6269309,3381133,53.93,2888175,46.07,35463625,17199988,48.5,18263637,51.5,19917578,9685238,48.63,10232340.9,51.37,15546046,7514751,48.34,8031296,51.66
01000,01,Aguascalientes,000,Total,1312544,640091,672453,113009,52224,60785,639265,559561,19.36,48.77,51.23,8.61,46.21,53.79,48.7,42.63,653,3105,0.05,0.25,45918,24032,21886,150443,74942,75501,78647,39325,39322,53176,53299,9.73,59.27,31.02,28.25,98.47,49.05,49.42,93.06,46.53,46.53,69.6,30.76,540692,341639,199053,519719,326210,193509,57056,53.71,33.93,19.77,51.62,32.4,19.22,5.67,169350,1140619,425190,635381,87523,2249,1889,31167,3112,12.9,86.9,37.28,55.7,7.67,0.2,0.17,2.73,0.27,334589,3.92,473,317,2316,1.76,5850,332934,2738,3176,3244,187,311142,282038,326554,288340,119111,0.14,0.09,0.69,1.75,99.51,0.82,0.95,0.97,0.06,92.99,84.29,97.6,86.18,35.6,,,,,,,,,32.59,27.79,14.7,32.08,7.56,21.43,7.88,15.1,2.28,68227,35142,51.51,33085,48.49,487392,213036,43.71,274357,56.29,280145,119446,42.64,160699.5,57.36,207247,93590,45.16,113657,54.84
01001,01,Aguascalientes,001,Aguascalientes,877190,425731,451459,78958,35859,43099,410806,386950,21.04,48.53,51.47,9,45.42,54.58,46.83,44.11,532,2395,0.06,0.29,29014,15593,13421,94917,46517,48400,50642,25381,25261,35220,41015,10.21,60.18,32.34,27.84,98.45,48.25,50.2,93.06,46.64,46.42,70.99,35.5,382550,234783,147767,367528,224214,143314,9344,55.81,34.25,21.56,53.62,32.71,20.91,1.36,124175,751430,201183,486868,63197,1138,1436,26454,1490,14.16,85.66,26.77,64.79,8.41,0.15,0.19,3.52,0.2,230559,3.8,371,171,1263,1.68,1829,229787,1528,954,1111,42,218059,200731,226072,204827,96897,0.16,0.07,0.55,0.79,99.67,0.66,0.41,0.48,0.02,94.58,87.06,98.05,88.84,42.03,3.43,14.2,2.08,0.04,5.85,5.37,1.83,2.99,31.49,,14.94,,7.5,,,,,46426,23283,50.15,23142,49.85,334896,153478,45.83,181418,54.17,193110,87514,45.32,105596.25,54.68,141786,65964,46.52,75821,53.48
01002,01,Aguascalientes,002,Asientos,46464,22745,23719,3918,1881,2037,24487,18023,18.96,48.95,51.05,8.43,48.01,51.99,52.7,38.79,-8,-8,-8,-8,1857,893,964,5932,2975,2957,3094,1567,1527,1851,1130,7.85,56.7,27.27,29.44,98.78,49.54,49.24,94.36,47.79,46.57,63.41,18.37,13914,10590,3324,13108,9866,3242,3585,40.58,30.88,9.69,38.22,28.77,9.45,10.45,2572,43781,33423,10333,1646,9,29,554,50,5.54,94.23,76.34,23.6,3.76,0.02,0.07,1.27,0.11,10787,4.31,6,17,181,1.91,707,10658,140,600,646,16,9145,7804,10307,7710,1060,0.06,0.16,1.68,6.55,98.8,1.3,5.56,5.99,0.15,84.78,72.35,95.55,71.47,9.83,0,0,0.4,0,3.21,4.61,0.8,3.41,32.28,,15.32,,7.95,,,,,989,549,55.51,440,44.49,5165,2023,39.17,3142,60.83,3350,996,29.73,2354,70.27,1815,1027,56.58,788,43.42
01003,01,Aguascalientes,003,Calvillo,56048,27298,28750,6447,3148,3299,27790,21773,27.03,48.7,51.3,11.5,48.83,51.17,49.58,38.85,10,-8,0.02,-8,2151,1087,1064,6585,3364,3221,3232,1538,1694,1924,1052,7.47,60.22,30.43,29.79,98.56,50.35,48.21,90,42.83,47.17,57.47,14.8,20099,13590,6509,19352,12976,6376,298,47.55,32.15,15.4,45.78,30.7,15.08,0.71,5466,50458,43175,7735,1846,402,277,161,92,9.75,90.03,85.57,15.33,3.66,0.8,0.55,0.32,0.18,14182,3.95,10,20,150,1.93,1168,14085,135,94,123,20,13135,10418,13809,10171,2484,0.07,0.14,1.06,8.24,99.32,0.95,0.66,0.87,0.14,92.62,73.46,97.37,71.72,17.52,2.51,6.7,1.51,0,5.03,6.7,1.68,3.18,40,,13.75,,9.17,,,,,3280,1750,53.37,1529,46.63,14944,7370,49.32,7573,50.68,7356,3560,48.4,3796,51.6,7587,3810,50.22,3777,49.78
01004,01,Aguascalientes,004,Cosío,15577,7552,8025,1397,686,711,8193,5978,19.43,48.48,51.52,8.97,49.11,50.89,52.6,38.38,-8,-8,-8,-8,597,316,281,1981,959,1022,1016,478,538,704,489,8.56,58.24,30.83,27.41,98.85,47.85,51,94.07,44.26,49.81,71.18,23.13,4869,3552,1317,4627,3326,1301,1579,42.13,30.73,11.39,40.03,28.78,11.26,13.66,797,14754,10479,3640,1067,26,4,316,77,5.12,94.72,71.02,24.67,7.23,0.18,0.03,2.14,0.52,3519,4.43,2,2,55,2.03,148,3488,21,95,68,7,3081,2530,3391,2609,319,0.06,0.06,1.56,4.21,99.12,0.6,2.7,1.93,0.2,87.55,71.9,96.36,74.14,9.07,0,0,0,0,6.62,4.21,1.81,1.81,32.6,,16.43,,7.38,,,,,1000,591,59.13,408,40.87,4538,3172,69.9,1366,30.1,2109,1398,66.26,711.5,33.74,2428,1774,73.05,654,26.95
01005,01,Aguascalientes,005,Jesús María,120405,60135,60270,7327,3516,3811,63209,49794,11.91,49.94,50.06,6.09,47.99,52.01,52.5,41.36,-8,-8,-8,-8,4768,2293,2475,15540,8126,7414,7681,3696,3985,5052,3997,9.47,60.17,28.94,31.23,98.06,51.28,46.78,91.53,44.04,47.49,67.45,25.15,51020,32543,18477,49795,31664,18131,19699,57.39,36.61,20.78,56.01,35.62,20.4,22.16,16657,103520,36123,60749,5498,360,60,2682,957,13.83,85.98,34.89,58.68,5.31,0.35,0.06,2.59,0.92,28911,4.16,32,43,266,1.92,399,28731,273,225,210,11,26541,24601,28085,25598,9882,0.11,0.15,0.92,1.38,99.38,0.94,0.78,0.73,0.04,91.8,85.09,97.14,88.54,34.18,23.1,11.5,1.76,0,4.87,6.06,2.07,1.99,34.73,,12.36,,6.75,,,,,6377,3402,53.35,2975,46.65,63320,22688,35.83,40631,64.17,38473,13566,35.26,24907,64.74,24846,9122,36.71,15724,63.29
01006,01,Aguascalientes,006,Pabellón de Arteaga,46473,22490,23983,3577,1637,1940,24617,18272,15.85,48.39,51.61,7.7,45.76,54.24,52.97,39.32,3,-8,0.01,-8,1621,800,821,6072,3024,3048,3021,1442,1579,2188,1536,9.16,54.16,26.73,27.43,98.65,49.13,49.52,94.67,45.19,49.48,73.23,24.47,16904,11087,5817,16205,10556,5649,6636,49.28,32.32,16.96,47.24,30.77,16.47,19.34,4678,41719,20774,16893,5072,127,18,213,89,10.07,89.77,49.8,40.49,12.16,0.3,0.04,0.51,0.21,10769,4.32,3,11,76,1.97,169,10681,124,186,145,4,9656,8565,10480,8797,2731,0.03,0.1,0.71,1.57,99.18,1.15,1.73,1.35,0.04,89.66,79.53,97.32,81.69,25.36,2.25,7.15,0.82,0,3.68,5.93,3.07,3.88,24.06,,12.84,,7.38,,,,,2368,1248,52.73,1119,47.27,9737,5312,54.56,4425,45.44,4976,2599,52.24,2376.5,47.76,4761,2713,56.98,2048,43.02
01007,01,Aguascalientes,007,Rincón de Romos,53866,26693,27173,4218,1971,2247,29037,20588,15.87,49.55,50.45,7.83,46.73,53.27,53.91,38.22,13,-8,0.02,-8,2065,1115,950,7028,3715,3313,3696,1944,1752,2341,1746,8.98,56.92,30.73,26.19,98.75,52.2,46.55,95.58,50.27,45.31,71.39,22.98,17891,12043,5848,17108,11364,5744,4898,45.24,30.45,14.79,43.26,28.73,14.52,12.38,5602,48048,31232,13454,4728,16,9,284,138,10.4,89.2,65,28,9.84,0.03,0.02,0.59,0.29,12223,4.41,15,20,113,1.98,500,12119,193,309,318,33,10819,9286,11759,9333,2253,0.12,0.16,0.92,4.09,99.15,1.58,2.53,2.6,0.27,88.51,75.97,96.2,76.36,18.43,2.82,8.99,1.76,0,2.29,4.76,1.23,3.7,31.74,,14.34,,6.9,,,,,3234,1764,54.54,1470,45.46,13094,7194,54.94,5900,45.06,6122,3362,54.92,2759.75,45.08,6972,3832,54.96,3140,45.04
01008,01,Aguascalientes,008,San José de Gracia,8896,4276,4620,798,411,387,4784,3305,20.25,48.07,51.93,8.97,51.5,48.5,53.78,37.15,13,-8,0.15,-8,435,226,209,1161,576,585,584,301,283,368,253,8.56,69.82,36.28,33.55,99.66,49.44,50.21,94.96,48.94,46.02,68.79,20.96,2994,1998,996,2820,1841,979,683,46.35,30.93,15.42,43.65,28.5,15.15,10.57,502,8377,7062,819,818,21,14,9,2,5.64,94.17,84.3,9.78,9.76,0.25,0.17,0.11,0.02,2104,4.23,1,,12,2.03,234,2069,34,118,103,4,1804,1556,1957,1659,218,0.05,0,0.57,11.12,98.34,1.62,5.61,4.9,0.19,85.74,73.95,93.01,78.85,10.36,0,0,0,0,0,0.94,0.94,4.72,31.3,,14.92,,6.16,,,,,401,226,56.36,175,43.64,1571,937,59.64,634,40.36,702,420,59.83,282,40.17,869,517,59.49,352,40.51
01009,01,Aguascalientes,009,Tepezalá,20926,10197,10729,2050,985,1065,10974,7898,22.04,48.73,51.27,9.8,48.05,51.95,52.44,37.74,-8,-8,-8,-8,906,452,454,2563,1256,1307,1368,710,658,935,530,8.03,60.85,30.36,30.49,98.77,48.4,50.37,95.13,49.37,45.76,75.34,18.68,6446,4800,1646,6234,4613,1621,2395,41.68,31.04,10.64,40.31,29.83,10.48,15.49,1710,19180,14731,4008,940,73,8,50,12,8.17,91.66,76.8,20.9,4.9,0.38,0.04,0.26,0.06,4948,4.23,6,2,62,1.97,280,4898,66,208,142,4,4250,3744,4724,3602,457,0.12,0.04,1.25,5.66,98.99,1.33,4.2,2.87,0.08,85.89,75.67,95.47,72.8,9.24,0,0,0.45,0,4.06,2.25,1.35,0.9,31.95,,14.69,,7.24,,,,,577,351,60.83,226,39.17,3581,1970,55.01,1611,44.99,2227,1226,55.05,1001,44.95,1354,744,54.95,610,45.05
01010,01,Aguascalientes,010,El Llano,20245,9982,10263,1854,918,936,10536,7831,20.59,49.31,50.69,9.16,49.51,50.49,52.04,38.68,-8,-8,-8,-8,640,319,321,2562,1352,1210,1330,672,658,878,471,7.9,51.04,25.44,25.6,99.07,52.28,46.79,94.86,47.93,46.93,66.62,17.6,6276,4674,1602,5865,4309,1556,2023,41.62,30.99,10.62,38.89,28.57,10.32,13.41,1739,18474,12840,5232,981,32,,50,2,8.59,91.25,69.5,28.32,5.31,0.17,0,0.27,0.01,4882,4.15,8,18,84,1.98,273,4770,128,336,308,28,4000,3248,4622,3485,273,0.16,0.37,1.72,5.59,97.71,2.62,6.88,6.31,0.57,81.93,66.53,94.67,71.38,5.59,0,0,0,0,2.79,3.26,0.47,1.4,35.06,,16.55,,7.65,,,,,935,592,63.31,343,36.69,3518,2058,58.51,1459,41.49,1568,867,55.27,701.5,44.73,1949,1192,61.13,758,38.87
01011,01,Aguascalientes,011,San Francisco de los Romo,46454,22992,23462,2465,1212,1253,24832,19149,9.7,49.49,50.51,5.31,49.17,50.83,53.46,41.22,43,-8,0.09,-8,1864,938,926,6102,3078,3024,2983,1596,1387,1715,1080,8.79,53.52,26.93,26.59,98.15,49.51,48.64,92.24,49.35,42.89,63.94,18.37,17729,11979,5750,17077,11481,5596,5916,53.07,35.86,17.21,51.11,34.36,16.75,17.71,5452,40878,14168,25650,1730,45,34,394,203,11.74,88,34.66,62.75,4.23,0.11,0.08,0.96,0.5,11705,3.97,19,13,54,1.94,143,11648,96,51,70,18,10652,9555,11348,10549,2537,0.16,0.11,0.46,1.22,99.51,0.82,0.44,0.6,0.15,91,81.63,96.95,90.12,21.67,0,0,0.2,0,2.03,2.24,1.22,1.22,39.31,,11.88,,7.19,,,,,2640,1384,52.43,1256,47.57,33024,6825,20.67,26199,79.33,20144,3930,19.51,16214,80.49,12880,2895,22.48,9985,77.52
