;cve_ent_mun;Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida;Restaurantes con servicio de preparación de antojitos;Restaurantes con servicio de preparación de pescados y mariscos;Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar;Restaurantes con servicio de preparación de tacos y tortas;Restaurantes de autoservicio;Restaurantes que preparan otro tipo de alimentos para llevar
0;10001;9.0;54.0;4.0;13.0;15.0;2.0;7.0
1;10002;4.0;2.0;0.0;2.0;1.0;0.0;0.0
2;10003;1.0;3.0;0.0;0.0;1.0;0.0;0.0
3;10004;14.0;61.0;5.0;20.0;18.0;2.0;8.0
4;10005;244.0;1500.0;141.0;394.0;480.0;67.0;197.0
5;10006;1.0;2.0;0.0;2.0;1.0;0.0;0.0
6;10007;61.0;977.0;38.0;260.0;199.0;20.0;78.0
7;10008;12.0;72.0;8.0;17.0;29.0;2.0;8.0
8;10009;1.0;4.0;1.0;6.0;5.0;0.0;2.0
9;1001;402.0;2092.0;192.0;506.0;1046.0;96.0;338.0
10;10010;0.0;0.0;0.0;1.0;0.0;0.0;1.0
11;10011;3.0;1.0;0.0;0.0;0.0;0.0;0.0
12;10012;24.0;300.0;16.0;86.0;58.0;2.0;27.0
13;10013;12.0;60.0;3.0;24.0;23.0;2.0;3.0
14;10014;4.0;9.0;1.0;2.0;1.0;0.0;1.0
15;10015;3.0;24.0;0.0;9.0;8.0;0.0;2.0
16;10016;4.0;39.0;2.0;11.0;17.0;2.0;4.0
17;10017;5.0;12.0;2.0;11.0;8.0;0.0;2.0
18;10018;4.0;19.0;3.0;8.0;15.0;0.0;3.0
19;10019;1.0;1.0;0.0;2.0;0.0;0.0;2.0
20;1002;6.0;44.0;3.0;11.0;37.0;0.0;5.0
21;10020;4.0;21.0;2.0;5.0;8.0;1.0;6.0
22;10021;4.0;16.0;2.0;7.0;4.0;2.0;2.0
23;10022;7.0;45.0;2.0;7.0;18.0;3.0;6.0
24;10023;12.0;48.0;9.0;18.0;24.0;0.0;4.0
25;10024;10.0;20.0;3.0;11.0;4.0;0.0;4.0
26;10025;1.0;2.0;0.0;0.0;0.0;0.0;0.0
27;10026;9.0;13.0;4.0;3.0;4.0;0.0;3.0
28;10027;4.0;2.0;0.0;2.0;3.0;0.0;0.0
29;10028;4.0;13.0;2.0;4.0;10.0;1.0;1.0
30;10029;1.0;3.0;1.0;4.0;1.0;0.0;1.0
31;1003;14.0;122.0;4.0;26.0;58.0;2.0;4.0
32;10030;0.0;2.0;0.0;0.0;0.0;0.0;0.0
33;10031;1.0;11.0;0.0;2.0;4.0;0.0;1.0
34;10032;22.0;77.0;14.0;35.0;40.0;0.0;6.0
35;10033;2.0;15.0;1.0;7.0;2.0;0.0;1.0
36;10034;7.0;2.0;5.0;3.0;11.0;1.0;1.0
37;10035;5.0;22.0;4.0;19.0;13.0;1.0;2.0
38;10036;5.0;34.0;2.0;17.0;7.0;1.0;5.0
39;10037;4.0;3.0;4.0;4.0;6.0;0.0;0.0
40;10038;8.0;105.0;9.0;35.0;43.0;2.0;11.0
41;10039;9.0;28.0;5.0;17.0;20.0;3.0;1.0
42;1004;0.0;27.0;3.0;2.0;10.0;0.0;2.0
43;1005;28.0;207.0;24.0;57.0;154.0;3.0;28.0
44;1006;10.0;93.0;8.0;25.0;71.0;0.0;8.0
45;1007;10.0;96.0;7.0;19.0;64.0;3.0;6.0
46;1008;4.0;19.0;13.0;10.0;19.0;0.0;1.0
47;1009;1.0;32.0;2.0;14.0;24.0;1.0;2.0
48;1010;0.0;18.0;2.0;11.0;13.0;0.0;3.0
49;1011;9.0;77.0;4.0;21.0;50.0;5.0;7.0
50;11001;16.0;56.0;7.0;31.0;57.0;3.0;10.0
51;11002;55.0;113.0;24.0;63.0;166.0;5.0;43.0
52;11003;179.0;105.0;27.0;95.0;157.0;10.0;34.0
53;11004;18.0;95.0;9.0;36.0;67.0;2.0;31.0
54;11005;11.0;71.0;13.0;43.0;81.0;4.0;25.0
55;11006;1.0;0.0;0.0;1.0;2.0;0.0;1.0
56;11007;236.0;585.0;72.0;334.0;529.0;44.0;339.0
57;11008;16.0;18.0;15.0;27.0;72.0;2.0;10.0
58;11009;19.0;69.0;6.0;35.0;45.0;1.0;27.0
59;11010;7.0;13.0;2.0;9.0;23.0;0.0;4.0
60;11011;26.0;191.0;17.0;43.0;114.0;3.0;38.0
61;11012;10.0;35.0;19.0;29.0;54.0;0.0;19.0
62;11013;4.0;9.0;3.0;15.0;8.0;1.0;4.0
63;11014;57.0;127.0;21.0;79.0;130.0;3.0;31.0
64;11015;170.0;124.0;47.0;115.0;160.0;12.0;76.0
65;11016;6.0;11.0;4.0;8.0;4.0;1.0;3.0
66;11017;194.0;553.0;133.0;305.0;521.0;35.0;261.0
67;11018;5.0;64.0;6.0;26.0;44.0;1.0;14.0
68;11019;9.0;16.0;2.0;16.0;34.0;0.0;1.0
69;11020;623.0;1916.0;393.0;1147.0;2312.0;137.0;697.0
70;11021;34.0;111.0;29.0;57.0;127.0;1.0;25.0
71;11022;6.0;18.0;9.0;10.0;24.0;0.0;3.0
72;11023;39.0;176.0;27.0;47.0;101.0;1.0;18.0
73;11024;2.0;17.0;5.0;9.0;16.0;0.0;10.0
74;11025;14.0;105.0;22.0;44.0;129.0;2.0;45.0
75;11026;16.0;27.0;10.0;29.0;32.0;1.0;7.0
76;11027;93.0;337.0;41.0;152.0;218.0;15.0;151.0
77;11028;48.0;137.0;21.0;69.0;134.0;3.0;41.0
78;11029;2.0;24.0;3.0;8.0;20.0;1.0;2.0
79;11030;15.0;91.0;11.0;34.0;81.0;1.0;11.0
80;11031;70.0;178.0;96.0;89.0;307.0;10.0;91.0
81;11032;66.0;70.0;15.0;55.0;98.0;4.0;27.0
82;11033;51.0;125.0;15.0;59.0;112.0;1.0;28.0
83;11034;6.0;13.0;1.0;9.0;7.0;0.0;0.0
84;11035;24.0;94.0;15.0;32.0;95.0;1.0;25.0
85;11036;2.0;13.0;3.0;8.0;18.0;1.0;2.0
86;11037;67.0;169.0;33.0;97.0;134.0;10.0;59.0
87;11038;3.0;13.0;2.0;13.0;15.0;0.0;4.0
88;11039;7.0;23.0;4.0;26.0;50.0;1.0;15.0
89;11040;4.0;14.0;0.0;9.0;8.0;1.0;3.0
90;11041;28.0;98.0;20.0;56.0;108.0;5.0;28.0
91;11042;37.0;122.0;22.0;50.0;126.0;1.0;40.0
92;11043;5.0;12.0;4.0;9.0;15.0;1.0;3.0
93;11044;9.0;113.0;8.0;46.0;70.0;2.0;22.0
94;11045;5.0;15.0;1.0;5.0;13.0;0.0;3.0
95;11046;21.0;54.0;21.0;36.0;63.0;6.0;23.0
96;12001;979.0;1291.0;377.0;360.0;986.0;69.0;461.0
97;12002;5.0;3.0;0.0;0.0;5.0;0.0;13.0
98;12003;8.0;69.0;2.0;18.0;24.0;0.0;19.0
99;12004;2.0;3.0;0.0;3.0;8.0;1.0;12.0
100;12005;4.0;4.0;1.0;7.0;8.0;1.0;13.0
101;12006;5.0;17.0;1.0;2.0;22.0;0.0;2.0
102;12007;6.0;70.0;5.0;17.0;36.0;0.0;50.0
103;12008;3.0;5.0;1.0;3.0;10.0;0.0;6.0
104;12009;0.0;0.0;0.0;0.0;0.0;0.0;2.0
105;12010;1.0;8.0;0.0;5.0;4.0;0.0;12.0
106;12011;26.0;72.0;12.0;34.0;52.0;0.0;59.0
107;12012;25.0;38.0;4.0;19.0;54.0;0.0;39.0
108;12013;11.0;16.0;0.0;6.0;14.0;0.0;1.0
109;12014;8.0;20.0;4.0;7.0;17.0;1.0;12.0
110;12015;5.0;19.0;2.0;8.0;25.0;0.0;6.0
111;12016;4.0;6.0;0.0;2.0;9.0;0.0;3.0
112;12017;4.0;21.0;0.0;7.0;19.0;1.0;6.0
113;12018;12.0;8.0;0.0;4.0;14.0;0.0;19.0
114;12019;1.0;6.0;0.0;3.0;4.0;0.0;1.0
115;12020;1.0;7.0;0.0;4.0;10.0;0.0;7.0
116;12021;35.0;54.0;4.0;22.0;86.0;1.0;55.0
117;12022;4.0;64.0;0.0;8.0;9.0;0.0;22.0
118;12023;27.0;65.0;6.0;13.0;33.0;1.0;12.0
119;12024;1.0;2.0;0.0;2.0;5.0;1.0;0.0
120;12025;4.0;5.0;0.0;5.0;5.0;0.0;6.0
121;12026;1.0;6.0;0.0;2.0;3.0;0.0;2.0
122;12027;10.0;44.0;0.0;5.0;13.0;0.0;14.0
123;12028;29.0;149.0;9.0;30.0;83.0;1.0;55.0
124;12029;212.0;426.0;46.0;164.0;348.0;27.0;377.0
125;12030;22.0;35.0;6.0;10.0;33.0;0.0;28.0
126;12031;2.0;2.0;0.0;1.0;3.0;0.0;0.0
127;12032;3.0;8.0;3.0;9.0;17.0;0.0;22.0
128;12033;6.0;12.0;1.0;9.0;16.0;0.0;22.0
129;12034;18.0;41.0;3.0;18.0;57.0;3.0;35.0
130;12035;106.0;457.0;32.0;90.0;322.0;16.0;165.0
131;12036;2.0;23.0;0.0;2.0;8.0;0.0;6.0
132;12037;2.0;4.0;0.0;2.0;12.0;0.0;4.0
133;12038;195.0;163.0;85.0;84.0;179.0;2.0;81.0
134;12039;23.0;34.0;4.0;10.0;31.0;1.0;31.0
135;12040;6.0;23.0;3.0;8.0;21.0;0.0;7.0
136;12041;0.0;2.0;0.0;0.0;7.0;0.0;5.0
137;12042;0.0;26.0;1.0;5.0;14.0;0.0;7.0
138;12043;2.0;1.0;0.0;7.0;10.0;0.0;7.0
139;12044;1.0;16.0;0.0;6.0;8.0;0.0;8.0
140;12045;5.0;11.0;0.0;11.0;17.0;0.0;17.0
141;12046;82.0;77.0;7.0;37.0;69.0;1.0;96.0
142;12047;2.0;2.0;0.0;1.0;0.0;0.0;2.0
143;12048;34.0;113.0;11.0;29.0;89.0;0.0;34.0
144;12049;3.0;34.0;1.0;5.0;28.0;0.0;11.0
145;12050;51.0;187.0;9.0;34.0;50.0;3.0;60.0
146;12051;6.0;39.0;2.0;17.0;28.0;1.0;24.0
147;12052;40.0;47.0;5.0;16.0;40.0;0.0;44.0
148;12053;30.0;98.0;6.0;20.0;89.0;2.0;35.0
149;12054;3.0;9.0;2.0;3.0;7.0;1.0;9.0
150;12055;56.0;145.0;8.0;53.0;134.0;2.0;62.0
151;12056;11.0;16.0;2.0;5.0;15.0;0.0;16.0
152;12057;79.0;101.0;7.0;27.0;107.0;5.0;59.0
153;12058;18.0;64.0;3.0;15.0;59.0;3.0;33.0
154;12059;1.0;14.0;5.0;8.0;12.0;0.0;15.0
155;12060;0.0;11.0;1.0;2.0;12.0;1.0;8.0
156;12061;13.0;118.0;4.0;11.0;51.0;1.0;33.0
157;12062;6.0;12.0;0.0;6.0;10.0;0.0;3.0
158;12063;0.0;2.0;0.0;1.0;3.0;0.0;11.0
159;12064;6.0;34.0;2.0;8.0;11.0;0.0;2.0
160;12065;3.0;5.0;0.0;7.0;4.0;0.0;5.0
161;12066;40.0;56.0;8.0;49.0;102.0;4.0;122.0
162;12067;10.0;55.0;1.0;15.0;23.0;2.0;36.0
163;12068;11.0;18.0;9.0;5.0;15.0;0.0;3.0
164;12069;1.0;2.0;0.0;2.0;1.0;0.0;3.0
165;12070;2.0;3.0;0.0;10.0;10.0;0.0;8.0
166;12071;4.0;11.0;1.0;5.0;18.0;0.0;14.0
167;12072;0.0;1.0;0.0;1.0;3.0;0.0;9.0
168;12073;6.0;26.0;2.0;4.0;5.0;0.0;13.0
169;12074;0.0;14.0;0.0;3.0;10.0;0.0;6.0
170;12075;18.0;112.0;11.0;19.0;67.0;0.0;50.0
171;12076;1.0;4.0;0.0;4.0;8.0;0.0;9.0
172;12077;13.0;23.0;0.0;11.0;26.0;0.0;16.0
173;12078;0.0;0.0;0.0;3.0;1.0;0.0;1.0
174;12079;1.0;8.0;1.0;1.0;6.0;0.0;4.0
175;12080;7.0;6.0;0.0;3.0;7.0;0.0;0.0
176;12081;5.0;4.0;0.0;6.0;18.0;0.0;6.0
177;13001;0.0;9.0;0.0;5.0;5.0;0.0;6.0
178;13002;2.0;16.0;1.0;9.0;22.0;0.0;9.0
179;13003;34.0;204.0;7.0;49.0;59.0;2.0;97.0
180;13004;1.0;6.0;1.0;3.0;3.0;0.0;4.0
181;13005;1.0;29.0;2.0;19.0;10.0;1.0;16.0
182;13006;1.0;5.0;0.0;8.0;3.0;0.0;3.0
183;13007;2.0;17.0;0.0;2.0;5.0;0.0;5.0
184;13008;29.0;67.0;5.0;21.0;43.0;2.0;27.0
185;13009;2.0;40.0;0.0;4.0;2.0;1.0;5.0
186;13010;20.0;48.0;2.0;13.0;13.0;0.0;29.0
187;13011;5.0;26.0;0.0;10.0;13.0;1.0;5.0
188;13012;6.0;25.0;1.0;18.0;18.0;0.0;22.0
189;13013;19.0;69.0;4.0;30.0;20.0;2.0;34.0
190;13014;3.0;3.0;0.0;7.0;4.0;0.0;9.0
191;13015;0.0;5.0;0.0;4.0;4.0;0.0;5.0
192;13016;13.0;55.0;6.0;28.0;36.0;2.0;26.0
193;13017;0.0;4.0;0.0;6.0;3.0;0.0;3.0
194;13018;10.0;15.0;1.0;8.0;13.0;2.0;10.0
195;13019;6.0;5.0;0.0;4.0;5.0;0.0;1.0
196;13020;0.0;1.0;0.0;0.0;2.0;0.0;0.0
197;13021;8.0;15.0;1.0;6.0;15.0;1.0;17.0
198;13022;1.0;8.0;0.0;5.0;2.0;0.0;7.0
199;13023;5.0;80.0;1.0;32.0;28.0;2.0;25.0
200;13024;12.0;4.0;1.0;3.0;1.0;0.0;0.0
201;13025;2.0;17.0;0.0;3.0;17.0;0.0;4.0
202;13026;0.0;3.0;0.0;2.0;2.0;0.0;1.0
203;13027;2.0;7.0;0.0;3.0;13.0;0.0;4.0
204;13028;60.0;130.0;7.0;65.0;172.0;2.0;68.0
205;13029;28.0;34.0;4.0;23.0;25.0;1.0;20.0
206;13030;74.0;201.0;11.0;98.0;105.0;6.0;120.0
207;13031;16.0;10.0;2.0;10.0;7.0;0.0;8.0
208;13032;1.0;18.0;0.0;5.0;13.0;0.0;3.0
209;13033;0.0;1.0;0.0;1.0;0.0;0.0;2.0
210;13034;1.0;1.0;0.0;0.0;0.0;0.0;3.0
211;13035;0.0;1.0;1.0;3.0;8.0;0.0;3.0
212;13036;4.0;5.0;0.0;6.0;5.0;0.0;8.0
213;13037;1.0;9.0;1.0;9.0;11.0;0.0;14.0
214;13038;8.0;12.0;1.0;0.0;1.0;0.0;1.0
