Municipality ID,Municipality,Population Age Range ID,Population Age Range,Sex ID,Sex,Projected Population
1001,Aguascalientes,1,0 to 4 years,1,Male,39105
1001,Aguascalientes,1,0 to 4 years,2,Female,37725
1001,Aguascalientes,2,5 to 9 years,1,Male,41537
1001,Aguascalientes,2,5 to 9 years,2,Female,39675
1001,Aguascalientes,3,10 to 14 years,1,Male,43148
1001,Aguascalientes,3,10 to 14 years,2,Female,41666
1001,Aguascalientes,4,15 to 19 years,1,Male,44810
1001,Aguascalientes,4,15 to 19 years,2,Female,43033
1001,Aguascalientes,5,20 to 24 years,1,Male,45033
1001,Aguascalientes,5,20 to 24 years,2,Female,42684
1001,Aguascalientes,6,25 to 29 years,1,Male,43793
1001,Aguascalientes,6,25 to 29 years,2,Female,41343
1001,Aguascalientes,7,30 to 34 years,1,Male,38565
1001,Aguascalientes,7,30 to 34 years,2,Female,38463
1001,Aguascalientes,8,35 to 39 years,1,Male,32878
1001,Aguascalientes,8,35 to 39 years,2,Female,35908
1001,Aguascalientes,9,40 to 44 years,1,Male,29460
1001,Aguascalientes,9,40 to 44 years,2,Female,34340
1001,Aguascalientes,10,45 to 49 years,1,Male,28156
1001,Aguascalientes,10,45 to 49 years,2,Female,32892
1001,Aguascalientes,11,50 to 54 years,1,Male,25112
1001,Aguascalientes,11,50 to 54 years,2,Female,29034
1001,Aguascalientes,12,55 to 59 years,1,Male,21136
1001,Aguascalientes,12,55 to 59 years,2,Female,24207
1001,Aguascalientes,13,60 to 64 years,1,Male,16768
1001,Aguascalientes,13,60 to 64 years,2,Female,18870
1001,Aguascalientes,14,65 or more years,1,Male,28532
1001,Aguascalientes,14,65 or more years,2,Female,36656
1002,Asientos,1,0 to 4 years,1,Male,2503
1002,Asientos,1,0 to 4 years,2,Female,2484
1002,Asientos,2,5 to 9 years,1,Male,2652
1002,Asientos,2,5 to 9 years,2,Female,2529
1002,Asientos,3,10 to 14 years,1,Male,2698
1002,Asientos,3,10 to 14 years,2,Female,2542
1002,Asientos,4,15 to 19 years,1,Male,2607
1002,Asientos,4,15 to 19 years,2,Female,2508
1002,Asientos,5,20 to 24 years,1,Male,2375
1002,Asientos,5,20 to 24 years,2,Female,2374
1002,Asientos,6,25 to 29 years,1,Male,2150
1002,Asientos,6,25 to 29 years,2,Female,2230
1002,Asientos,7,30 to 34 years,1,Male,1871
