id_ent_mun,municipio,ing_lab,ocupados,desocupados,pob,pob_muj,pob_hom,pob_0_4,pob_5_9,pob_10_14,pob_15_19,pob_20_24,pob_25_29,pob_30_34,pob_35_39,pob_40_44,pob_45_49,pob_50_54,pob_55_59,pob_60_64,pob_65_more
1001,Aguascalientes,7676.46,300564.0,24836.0,974529,496496,478033,76830,81212,84814,87843,87717,85136,77028,68786,63800,61048,54146,45343,35638,65188
1002,Asientos,5863.52,8138.0,693.0,51383,25810,25573,4987,5181,5240,5115,4749,4380,3830,3223,2819,2591,2184,1783,1481,3820
1003,Calvillo,5784.97,14757.0,199.0,61389,31334,30055,5465,5612,5795,5733,5207,4738,4288,3737,3321,3223,3052,2765,2455,5998
1004,Cosío,6096.05,3801.0,87.0,17076,8690,8386,1588,1718,1755,1698,1526,1371,1237,1096,977,898,768,642,531,1271
1005,Jesús María,6262.18,37341.0,3187.0,132340,65849,66491,13140,13685,13427,12657,11812,11645,11355,10216,8478,6853,5299,4198,3361,6214
1006,Pabellón de Arteaga,6566.97,16526.0,975.0,50574,25847,24727,4806,4998,5058,5002,4784,4471,3907,3288,2836,2638,2275,1812,1438,3261
1007,Rincón de Romos,5990.2,20344.0,1347.0,58600,29486,29114,5641,5891,5972,5910,5468,4990,4442,3793,3259,2971,2578,2137,1718,3830
1008,San José de Gracia,,,,9771,5032,4739,960,959,1006,998,889,783,689,596,528,491,422,334,272,844
1009,Tepezalá,6259.22,8131.0,138.0,23017,11685,11332,2228,2282,2321,2284,2103,1906,1693,1452,1218,1084,970,847,734,1895
1010,El Llano,7379.21,2064.0,258.0,22189,10940,11249,2035,2133,2263,2245,1974,1753,1651,1500,1310,1174,992,805,661,1693
1011,San Francisco de los Romo,5706.41,10101.0,776.0,52584,26367,26217,5680,5721,5292,4839,4712,5092,4855,3873,2984,2437,1966,1586,1253,2294
2001,Ensenada,8626.94,232207.0,11664.0,544568,272552,272016,43683,44213,45387,47924,48971,47443,42373,37091,34166,34223,31606,26210,20806,40472
2002,Mexicali,8449.05,328645.0,12877.0,1105279,553852,551427,85454,88387,88726,90943,92364,92547,86765,79809,75265,73171,66149,56224,44764,84711
2003,Tecate,8854.54,74071.0,2620.0,115534,56008,59526,9218,9637,9850,10029,9920,9882,9269,8390,7763,7438,6507,5243,4068,8320
2004,Tijuana,8569.15,678826.0,38675.0,1815100,910412,904688,149163,153515,152613,154550,157944,163460,157178,141996,127494,116205,98676,79282,59932,103092
2005,Playas de Rosarito,8720.62,63804.0,2942.0,109679,54759,54920,8852,9398,9587,9712,9427,9073,8414,7757,7357,7056,6110,5122,4277,7537
3001,Comondú,6726.5,45861.0,274.0,84593,41706,42887,6462,7124,7221,6789,6183,6052,5972,5796,5722,5882,5469,4557,3604,7760
3002,Mulegé,9726.8,48781.0,1390.0,68663,33081,35582,6025,5893,5943,5888,5626,5370,4982,4759,4652,4483,3839,3072,2502,5629
3003,La Paz,9475.36,255218.0,14662.0,307330,154241,153089,22785,23139,23160,24360,25277,25174,23648,22139,21528,21875,20326,17008,12900,24011
3008,Los Cabos,9596.81,281062.0,24775.0,338303,164259,174044,33295,31957,29312,28954,30807,33299,32648,29286,24362,19289,14251,10574,7822,12447
3009,Loreto,8357.2,11142.0,127.0,22170,10600,11570,1770,1801,1782,1752,1696,1676,1629,1595,1586,1573,1386,1167,974,1783
4001,Calkiní,5791.44,22427.0,340.0,64269,32644,31625,5318,5423,5271,5470,5765,5754,5180,4389,3752,3522,3252,2901,2499,5773
4002,Campeche,7025.42,127463.0,5405.0,322756,167084,155672,24964,25856,24856,25294,26661,27908,27073,25212,23077,21149,18236,15380,12530,24560
4003,Carmen,9192.71,100774.0,6953.0,280167,140645,139522,24142,23500,22234,22484,24582,27164,26173,22721,19630,17558,14694,11435,8437,15413
4004,Champotón,5396.72,52538.0,1003.0,101675,50668,51007,9453,9740,9427,8933,8349,8212,8020,7365,6465,5756,4952,4160,3381,7462
4005,Hecelchakán,5052.33,15470.0,143.0,35222,17647,17575,3361,3233,2907,2851,3021,3176,2948,2502,2137,1942,1718,1469,1206,2751
4006,Hopelchén,5255.8,11743.0,146.0,44780,21902,22878,4778,4737,4479,4198,3873,3665,3343,2860,2410,2139,1873,1656,1454,3315
4007,Palizada,5913.64,5040.0,,10000,4943,5057,903,951,890,801,704,704,751,753,693,606,495,418,382,949
4008,Tenabo,,,,12121,5901,6220,1116,1066,917,933,1040,1137,1073,880,730,683,606,514,446,980
4009,Escárcega,3467.42,54770.0,3803.0,64373,32571,31802,6347,6700,6557,6157,5445,5006,4688,4278,3858,3552,3032,2466,1976,4311
4010,Calakmul,2084.65,9835.0,,32174,15813,16361,3714,3937,3912,3434,2683,2327,2203,1974,1683,1446,1191,1019,876,1775
4011,Candelaria,3420.28,20209.0,156.0,49474,24419,25055,5340,5496,5387,4786,3895,3498,3356,3152,2886,2631,2252,1905,1579,3311
5001,Abasolo,,,,1145,570,575,76,72,81,84,73,62,62,67,74,80,77,71,68,198
5002,Acuña,6296.03,68425.0,4316.0,164667,81911,82756,17072,16399,15686,14818,13968,13851,13425,12636,11391,9639,7445,5789,4513,8035
5003,Allende,,,,24960,12625,12335,2266,2214,2225,2229,2048,1829,1611,1525,1622,1716,1499,1170,925,2081
5004,Arteaga,8102.79,25453.0,1604.0,25815,12601,13214,2373,2348,2341,2251,1984,1779,1694,1644,1625,1609,1398,1165,1006,2598
5005,Candela,,,,1971,936,1035,172,176,159,142,118,114,115,118,123,128,117,97,87,305
5006,Castaños,7584.81,10137.0,1635.0,30992,15468,15524,2939,2687,2651,2670,2614,2504,2223,1957,1902,1983,1813,1473,1137,2439
5007,Cuatro Ciénegas,13844.74,5814.0,,14793,7312,7481,1365,1382,1403,1306,1095,967,942,944,945,934,806,662,586,1456
5008,Escobedo,,,,3398,1663,1735,330,294,275,283,272,241,210,198,204,216,199,163,134,379
5009,Francisco I. Madero,5444.98,16144.0,1541.0,65435,32734,32701,6312,6133,6005,5787,5289,4994,4671,4271,3995,3872,3516,3030,2494,5066
5010,Frontera,7190.62,61262.0,12575.0,89065,44270,44795,8384,8032,7575,7580,7587,7328,6517,5831,5597,5639,5171,4302,3328,6194
5011,General Cepeda,4553.39,5130.0,285.0,13680,6549,7131,1254,1219,1200,1142,1019,931,871,818,785,767,692,641,628,1713
5012,Guerrero,,,,1978,931,1047,166,178,170,155,136,130,128,121,120,122,121,108,89,234
5013,Hidalgo,,,,1906,930,976,239,226,185,155,148,156,144,114,88,89,95,89,69,109
5014,Jiménez,,,,11082,5452,5630,1020,989,1009,1006,893,762,705,702,699,695,618,505,421,1058
5015,Juárez,,,,1743,835,908,146,145,150,158,141,118,110,109,108,108,103,89,76,182
5016,Lamadrid,,,,2014,975,1039,149,155,159,145,121,116,124,125,127,135,130,113,104,311
5017,Matamoros,6508.69,52083.0,3289.0,120851,60322,60529,11719,11682,11509,10947,9802,9163,9023,8542,7618,6734,5830,5120,4363,8799
5018,Monclova,7969.31,93418.0,11261.0,254558,127919,126639,22159,21204,20520,20710,20553,19912,18053,16708,16789,17416,16159,13644,10821,19910
5019,Morelos,,,,9564,4710,4854,917,905,882,824,730,684,656,605,557,556,532,463,393,860
5020,Múzquiz,7297.3,37791.0,4327.0,76609,37847,38762,6905,6730,6661,6590,6169,5690,5133,4726,4649,4818,4508,3886,3231,6913
5021,Nadadores,,,,7230,3587,3643,586,592,567,570,561,536,489,461,467,481,436,378,330,776
5022,Nava,,,,33491,16300,17191,3454,3291,3266,3191,2878,2538,2278,2143,2104,2073,1817,1451,1083,1924
5023,Ocampo,7018.77,4070.0,,11640,5600,6040,1164,1138,1118,1027,870,799,780,752,731,695,588,485,429,1064
5024,Parras,5652.98,17139.0,2440.0,49067,23974,25093,4195,4291,4480,4406,3862,3459,3277,3147,3125,3142,2802,2378,2059,4444
5025,Piedras Negras,7886.62,57238.0,1767.0,179190,89123,90067,18134,17316,16132,15760,15384,14714,13225,11889,11253,11005,9744,7805,5843,10986
5026,Progreso,,,,3695,1783,1912,331,311,326,335,299,249,218,207,212,227,215,180,151,434
5027,Ramos Arizpe,8079.01,34901.0,1488.0,105455,51650,53805,11440,10525,9435,8999,9122,9837,9538,8188,6924,5991,4607,3305,2529,5015
5028,Sabinas,5775.75,15858.0,1948.0,70427,35099,35328,6228,6035,5848,5903,5741,5410,4958,4588,4439,4539,4239,3575,2855,6069
5029,Sacramento,,,,2648,1304,1344,229,226,215,209,206,203,198,187,172,162,148,129,109,255
5030,Saltillo,9474.68,308270.0,21684.0,881364,441649,439715,82948,78746,74483,75312,76806,75172,68147,61165,57158,55026,48169,39616,30850,57766
5031,San Buenaventura,6633.82,10518.0,,26204,13085,13119,2215,2090,1981,2042,2130,2123,1883,1655,1664,1801,1671,1387,1150,2412
5032,San Juan de Sabinas,,,,47894,24354,23540,3959,3722,3691,3733,3610,3435,3178,2907,2838,3055,3061,2815,2423,5467
5033,San Pedro,5395.28,72861.0,488.0,119105,59572,59533,11565,11252,11004,10451,9298,8467,7980,7513,7160,7048,6430,5499,4626,10812
5034,Sierra Mojada,,,,7922,3806,4116,834,771,736,707,666,620,563,532,524,496,398,311,246,518
5035,Torreón,7199.74,354055.0,15429.0,754337,385242,369095,65709,64914,62845,62277,61349,60373,56529,52260,49330,47647,43599,37905,30640,58960
5036,Viesca,5586.9,25723.0,2493.0,24114,11829,12285,2417,2439,2297,2093,1848,1744,1682,1550,1405,1295,1140,1030,928,2246
5037,Villa Unión,,,,6918,3367,3551,632,647,631,588,525,500,481,450,427,411,360,305,274,687
5038,Zaragoza,,,,14332,7131,7201,1418,1291,1220,1199,1144,1059,931,850,859,885,804,683,581,1408
6001,Armería,6384.45,25611.0,1197.0,32810,16279,16531,3057,2980,2927,2806,2559,2428,2310,2132,1960,1901,1727,1496,1305,3222
6002,Colima,7208.64,98083.0,6638.0,171674,88047,83627,12507,12997,12910,13430,13874,14020,13142,11921,10908,10614,10183,9473,8378,17317
6003,Comala,6716.72,19446.0,580.0,24207,12010,12197,1990,2068,2074,2053,1979,1923,1805,1665,1531,1420,1250,1094,959,2396
6004,Coquimatlán,5600.47,13944.0,87.0,22453,11105,11348,1777,1910,1966,1980,1890,1765,1623,1491,1365,1319,1219,1072,930,2146
6005,Cuauhtémoc,7463.06,27591.0,477.0,33322,16574,16748,2523,2765,2817,2678,2400,2271,2342,2455,2399,2221,1906,1642,1465,3438
6006,Ixtlahuacán,,,,6170,3056,3114,504,497,515,499,445,431,445,437,414,392,335,280,252,724
6007,Manzanillo,8023.34,114402.0,4649.0,206757,102247,104510,18674,18330,17411,16901,17252,18472,18133,16274,14216,12779,10903,8759,6649,12004
6008,Minatitlán,5772.87,10637.0,556.0,9806,4698,5108,842,867,876,853,800,766,703,640,611,593,525,441,359,930
6009,Tecomán,6400.43,99060.0,2633.0,136597,67624,68973,13417,12888,12255,12004,11660,11375,10585,9497,8513,7796,6761,5694,4619,9533
6010,Villa de Álvarez,7855.4,89966.0,5357.0,153449,78544,74905,12255,12771,12846,13147,13318,13620,13345,12482,11517,10515,8618,6567,4672,7776
7001,Acacoyagua,,,,20142,10044,10098,2312,2216,2156,1966,1646,1473,1382,1248,1120,1006,861,763,650,1343
7002,Acala,4338.61,17836.0,,34995,17638,17357,3330,3396,3253,3005,2818,2842,2770,2489,2140,1895,1697,1489,1217,2654
7003,Acapetahua,7541.07,11060.0,395.0,31479,15726,15753,3090,2908,2974,2973,2705,2421,2190,1976,1825,1768,1611,1375,1111,2552
7004,Altamirano,,,,36542,18153,18389,4364,4693,4493,3962,3414,3089,2690,2207,1774,1456,1149,936,773,1542
7005,Amatán,,,,21991,10847,11144,2530,2559,2545,2350,2024,1793,1579,1331,1095,943,807,682,561,1192
7006,Amatenango de la Frontera,1410.88,34680.0,,34329,17657,16672,3823,3805,3662,3229,2721,2567,2418,2132,1883,1741,1554,1328,1090,2376
7007,Amatenango del Valle,,,,10926,5673,5253,1395,1385,1209,1075,992,914,775,639,537,476,406,335,266,522
7008,Angel Albino Corzo,,,,31245,15680,15565,3387,3468,3481,3172,2701,2496,2357,2053,1716,1498,1284,1056,842,1734
7009,Arriaga,4311.52,8372.0,,44739,23106,21633,3814,3960,3873,3555,3214,3175,3213,3156,2987,2861,2636,2256,1843,4196
7010,Bejucal de Ocampo,,,,8427,4194,4233,1055,1007,969,844,687,618,564,475,386,345,320,295,257,605
7011,Bella Vista,,,,22310,11239,11071,2524,2553,2435,2068,1703,1665,1638,1405,1151,1040,958,835,698,1637
7012,Berriozábal,5667.97,24512.0,,58123,29135,28988,6768,6271,5794,5461,5264,5264,4867,4098,3291,2654,2171,1829,1487,2904
7013,Bochil,,,,38682,19522,19160,5144,4917,4467,3964,3552,3251,2782,2229,1838,1657,1396,1101,848,1536
7014,El Bosque,,,,24819,12830,11989,3342,3275,3052,2686,2368,2135,1756,1379,1116,933,743,598,485,951
7015,Cacahoatán,,,,51088,26182,24906,5144,5185,5093,4797,4277,3904,3585,3212,2869,2704,2444,2072,1718,4084
7016,Catazajá,,,,19230,9532,9698,1518,1610,1610,1512,1375,1403,1424,1346,1247,1191,1125,1052,905,1912
