cve_ent_mun,cve_ent,entidad,cve_mun,municipio,alimentos_carta_y_comida_corrida,antojitos,pescados_y_mariscos,comida_rapida,tacos_tortas,autoservicio,otro_tipo_para_llevar,ing_lab,ocupados,desocupados,pob,pob_muj,pob_hom,pob_0_4,pob_5_9,pob_10_14,pob_15_19,pob_20_24,pob_25_29,pob_30_34,pob_35_39,pob_40_44,pob_45_49,pob_50_54,pob_55_59,pob_60_64,pob_65_more
10001,10,Durango,001,Canatlán,9.0,54.0,4.0,13.0,15.0,2.0,7.0,5385.61,26170.0,819.0,35033.0,17715.0,17318.0,2726.0,2949.0,3129.0,3066.0,2814.0,2584.0,2350.0,2191.0,2129.0,2105.0,1927.0,1736.0,1550.0,3777.0
10002,10,Durango,002,Canelas,4.0,2.0,0.0,2.0,1.0,0.0,0.0,,,,4848.0,2308.0,2540.0,514.0,497.0,471.0,456.0,459.0,451.0,370.0,282.0,248.0,243.0,207.0,160.0,127.0,363.0
10003,10,Durango,003,Coneto de Comonfort,1.0,3.0,0.0,0.0,1.0,0.0,0.0,5968.82,5712.0,336.0,4670.0,2357.0,2313.0,420.0,489.0,505.0,451.0,363.0,303.0,269.0,265.0,270.0,263.0,225.0,188.0,177.0,482.0
10004,10,Durango,004,Cuencamé,14.0,61.0,5.0,20.0,18.0,2.0,8.0,5422.98,10845.0,2444.0,37765.0,18725.0,19040.0,3253.0,3574.0,3531.0,3287.0,3049.0,2936.0,2682.0,2401.0,2257.0,2160.0,1878.0,1618.0,1467.0,3672.0
10005,10,Durango,005,Durango,244.0,1500.0,141.0,394.0,480.0,67.0,197.0,6843.62,265955.0,15151.0,702486.0,362386.0,340100.0,59457.0,62681.0,62680.0,63327.0,62999.0,61092.0,55110.0,48488.0,44269.0,42462.0,37756.0,31049.0,24089.0,47027.0
10006,10,Durango,006,General Simón Bolívar,1.0,2.0,0.0,2.0,1.0,0.0,0.0,,,,10878.0,5499.0,5379.0,968.0,1023.0,1002.0,938.0,847.0,796.0,729.0,628.0,578.0,602.0,577.0,503.0,442.0,1245.0
10007,10,Durango,007,Gómez Palacio,61.0,977.0,38.0,260.0,199.0,20.0,78.0,7078.71,175305.0,10273.0,372559.0,188007.0,184552.0,30834.0,34060.0,34253.0,32701.0,31161.0,31014.0,29357.0,26624.0,24325.0,22799.0,20443.0,17494.0,13535.0,23959.0
10008,10,Durango,008,Guadalupe Victoria,12.0,72.0,8.0,17.0,29.0,2.0,8.0,7634.0,16056.0,,38074.0,19203.0,18871.0,3034.0,3410.0,3438.0,3317.0,3088.0,2942.0,2737.0,2514.0,2407.0,2389.0,2148.0,1795.0,1433.0,3422.0
10009,10,Durango,009,Guanaceví,1.0,4.0,1.0,6.0,5.0,0.0,2.0,,,,10547.0,5100.0,5447.0,832.0,964.0,952.0,881.0,832.0,844.0,782.0,667.0,598.0,577.0,540.0,503.0,458.0,1117.0
1001,01,Aguascalientes,001,Aguascalientes,402.0,2092.0,192.0,506.0,1046.0,96.0,338.0,7676.46,300564.0,24836.0,974529.0,496496.0,478033.0,76830.0,81212.0,84814.0,87843.0,87717.0,85136.0,77028.0,68786.0,63800.0,61048.0,54146.0,45343.0,35638.0,65188.0
10010,10,Durango,010,Hidalgo,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,4177.0,2059.0,2118.0,278.0,314.0,355.0,355.0,290.0,247.0,242.0,253.0,274.0,276.0,239.0,210.0,200.0,644.0
10011,10,Durango,011,Indé,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,5449.0,2719.0,2730.0,404.0,388.0,389.0,396.0,396.0,374.0,320.0,287.0,283.0,290.0,292.0,304.0,320.0,1006.0
10012,10,Durango,012,Lerdo,24.0,300.0,16.0,86.0,58.0,2.0,27.0,6544.48,61174.0,5752.0,166296.0,83521.0,82775.0,13836.0,15831.0,16154.0,15079.0,13777.0,13364.0,12906.0,12045.0,10956.0,9766.0,8267.0,7095.0,5802.0,11418.0
10013,10,Durango,013,Mapimí,12.0,60.0,3.0,24.0,23.0,2.0,3.0,5632.67,11452.0,,28561.0,14271.0,14290.0,2803.0,2971.0,2846.0,2619.0,2392.0,2268.0,2056.0,1760.0,1578.0,1531.0,1361.0,1138.0,977.0,2261.0
10014,10,Durango,014,Mezquital,4.0,9.0,1.0,2.0,1.0,0.0,1.0,3009.0,10205.0,,40938.0,20776.0,20162.0,5828.0,5772.0,5067.0,4282.0,3612.0,3143.0,2574.0,2051.0,1731.0,1551.0,1311.0,1105.0,920.0,1991.0
10015,10,Durango,015,Nazas,3.0,24.0,0.0,9.0,8.0,0.0,2.0,,,,14001.0,7020.0,6981.0,1212.0,1290.0,1277.0,1155.0,1006.0,971.0,925.0,825.0,763.0,744.0,716.0,694.0,660.0,1763.0
10016,10,Durango,016,Nombre de Dios,4.0,39.0,2.0,11.0,17.0,2.0,4.0,5187.12,7358.0,849.0,21074.0,10577.0,10497.0,1793.0,1906.0,1860.0,1783.0,1666.0,1580.0,1448.0,1292.0,1205.0,1178.0,1077.0,964.0,861.0,2461.0
10017,10,Durango,017,Ocampo,5.0,12.0,2.0,11.0,8.0,0.0,2.0,,,,10434.0,5104.0,5330.0,678.0,778.0,873.0,858.0,729.0,657.0,630.0,610.0,633.0,678.0,656.0,605.0,559.0,1490.0
10018,10,Durango,018,El Oro,4.0,19.0,3.0,8.0,15.0,0.0,3.0,,,,12399.0,6226.0,6173.0,864.0,929.0,957.0,976.0,916.0,832.0,757.0,726.0,748.0,758.0,689.0,666.0,690.0,1891.0
10019,10,Durango,019,Otáez,1.0,1.0,0.0,2.0,0.0,0.0,2.0,,,,5528.0,2656.0,2872.0,594.0,602.0,608.0,590.0,542.0,471.0,376.0,297.0,250.0,232.0,202.0,166.0,142.0,456.0
1002,01,Aguascalientes,002,Asientos,6.0,44.0,3.0,11.0,37.0,0.0,5.0,5863.52,8138.0,693.0,51383.0,25810.0,25573.0,4987.0,5181.0,5240.0,5115.0,4749.0,4380.0,3830.0,3223.0,2819.0,2591.0,2184.0,1783.0,1481.0,3820.0
10020,10,Durango,020,Pánuco de Coronado,4.0,21.0,2.0,5.0,8.0,1.0,6.0,4007.02,27762.0,3184.0,12988.0,6588.0,6400.0,956.0,1076.0,1110.0,1075.0,974.0,902.0,855.0,835.0,812.0,781.0,714.0,643.0,595.0,1660.0
