entidad_id,entidad,pib,pib_act_pri,pib_act_sec,pib_act_ter
1,Aguascalientes,223043.179,9057.023,92118.268,121867.888
2,Baja California,576310.256,15730.579,220709.819,339869.858
3,Baja California Sur,157812.611,5442.382,44654.459,107715.770
4,Campeche,517911.715,5799.835,435477.852,76634.028
5,Coahuila de Zaragoza,605800.716,14031.022,300497.500,291272.194
6,Colima,109495.543,5027.733,29061.901,75405.909
7,Chiapas,260493.107,19490.257,46809.017,194193.833
8,Chihuahua,573579.261,33803.895,228841.066,310934.300
9,Ciudad de México,3139561.491,1235.817,295056.304,2843269.370
10,Durango,204698.844,19221.099,62622.398,122855.347
11,Guanajuato,706015.900,26603.084,245775.196,433637.620
12,Guerrero,240560.425,12645.303,43340.685,184574.437
13,Hidalgo,271360.233,9893.096,84224.091,177243.046
14,Jalisco,1216771.296,71065.243,363918.074,781787.979
15,México,1578335.332,19984.168,387622.836,1170728.328
16,Michoacán de Ocampo,424021.333,55532.839,66524.370,301964.124
17,Morelos,200326.121,6543.943,60770.811,133011.367
18,Nayarit,120634.018,8558.857,22061.662,90013.499
19,Nuevo León,1377525.883,6357.157,483851.167,887317.559
20,Oaxaca,252285.325,15271.916,54311.238,182702.171
21,Puebla,599131.752,24437.538,209999.164,364695.050
22,Querétaro,403905.224,9812.398,162710.728,231382.098
23,Quintana Roo,290340.694,2115.276,33126.504,255098.914
24,San Luis Potosí,369792.964,14402.283,145155.566,210235.115
25,Sinaloa,399403.452,48634.594,77232.195,273536.663
26,Sonora,579933.061,40382.360,254999.358,284551.343
27,Tabasco,448555.287,8659.872,266396.384,173499.031
28,Tamaulipas,518448.030,15120.083,189645.317,313682.630
29,Tlaxcala,104653.261,3420.220,40383.625,60849.416
30,Veracruz de Ignacio de la Llave,802757.913,42886.054,250420.908,509450.951
31,Yucatán,264718.211,9985.161,70297.058,184435.992
32,Zacatecas,152491.721,12656.241,48798.168,91037.312
