delegacion,poblacion_total,poblacion_hombres,poblacion_mujeres
Alvaro Obregon,759137,361007,398130
Azcapotzalco,432205,204950,227255
Benito Juarez,434153,202121,232032
Coyoacan,614447,289110,325337
Cuajimalpa de Morelos,217686,104149,113537
Cuauhtemoc,545884,260951,284933
Gustavo A. Madero,1173351,563874,609477
Iztacalco,404695,192352,212343
Iztapalapa,1835486,887651,947835
Magdalena Contreras,247622,118287,129335
Miguel Hidalgo,414470,195467,219003
Milpa Alta,152685,74371,78314
Tlahuac,392313,190190,202123
Tlalpan,699928,334877,365051
Venustiano Carranza,443704,210118,233586
Xochimilco,442178,215452,226726
