,nom_ent,pobtot,ing_lab,comida_carta_corrida,antojitos,pescados_mariscos,comida_rapida,tacos_tortas,autoservicio,otro_tipo_alimentos,amenazas,danio_propiedad,extorsion,robo_negocio
0,Aguascalientes,1312544,5780.471818181818,484,2827,262,702,1546,110,404,3869,4612,126,2377
1,Baja California,3315766,8644.060000000001,2415,1602,868,1637,2377,514,390,5129,8799,159,5394
2,Baja California Sur,712029,8776.534,828,570,315,652,681,101,183,1694,1526,108,822
3,Campeche,899931,4781.855454545454,426,1669,260,727,979,65,315,55,157,17,241
4,Chiapas,5217908,1531.389756097561,2837,5242,789,3105,4914,178,3331,551,1100,82,365
5,Chihuahua,3556574,2787.524477611941,1621,2463,589,2118,2716,463,559,3806,9627,17,2256
6,Ciudad de México,8918653,8182.475625,8637,9474,1734,4034,10954,1222,8020,18300,11202,470,18930
7,Coahuila de Zaragoza,2954915,3776.216052631579,1251,3372,324,1886,1897,284,598,5694,7381,43,1187
8,Colima,711235,6142.538000000001,510,1096,345,678,2030,89,452,3291,3285,117,913
9,Durango,1754754,3009.1,526,3622,293,1068,1101,114,400,1445,2773,124,1328
10,Guanajuato,5853677,3851.2471739130433,2336,6340,1258,3515,6701,333,2354,10717,11472,40,7452
11,Guerrero,3533251,1026.9701234567901,2389,4827,720,1478,3799,152,2593,2659,2163,306,757
12,Hidalgo,2858359,2604.4077380952376,1364,4214,262,1646,2504,169,2383,3026,2613,150,1910
13,Jalisco,7844830,2324.2134400000004,5221,6934,2325,4507,13337,705,2272,12329,8954,877,12209
14,Michoacán de Ocampo,4584471,1665.7381415929206,2049,7560,1053,3011,7411,266,2421,5182,4030,43,1038
15,Morelos,1903811,3969.470303030304,1287,3994,260,1295,3043,191,1688,5574,2629,173,3138
16,México,16187608,2832.2722400000002,5182,14207,1707,7652,14350,871,11331,0,16015,3768,24531
17,Nayarit,1181050,4811.905499999999,1039,2268,1080,1273,2921,118,573,103,134,13,171
18,Nuevo León,5119504,4050.162745098039,2616,2272,690,3280,6127,722,840,5041,6842,486,2278
19,Oaxaca,3967889,609.082333333333,3575,6979,1072,2229,4849,169,4162,5226,3289,137,1581
20,Puebla,6168883,1052.3023963133637,3165,7219,705,3314,8401,392,4333,5448,3659,186,4684
21,Querétaro,2038372,4848.670555555556,1446,2565,326,1271,2461,233,1041,4717,1732,286,3753
22,Quintana Roo,1501562,5357.889090909091,1650,2263,487,1239,1503,254,578,2873,4236,220,4225
23,San Luis Potosí,2717820,1441.4141379310345,1242,4565,445,1334,2423,185,1398,3490,5761,176,1898
24,Sinaloa,2966321,6699.409999999999,1575,2099,1436,1803,3396,467,836,1506,2449,70,1192
25,Sonora,2850330,2124.4705555555556,1321,1218,1192,2020,2678,353,456,1009,3108,80,968
26,Tabasco,2395272,4725.860588235295,630,3089,360,1229,2594,145,553,5314,2814,127,1731
27,Tamaulipas,3441698,3056.7353488372087,1538,2303,685,1688,4485,295,625,1928,3889,161,1561
28,Tlaxcala,1272847,4100.8679999999995,654,1069,164,698,1742,59,799,26,239,3,398
29,Veracruz de Ignacio de la Llave,8112505,1748.185141509434,3782,13453,1552,4228,7513,386,3966,8272,8150,914,7031
30,Yucatán,2097175,1420.0704716981131,1289,4496,569,1896,2393,256,2532,2799,2005,2,102
31,Zacatecas,1579209,2644.3236206896554,516,2667,284,939,1576,90,238,1450,2508,462,201
