,full_name,city_full_name,state_full_name,followers_count,friends_count,favourites_count,retweet_count,favorite_count,tweet_count
1,"Acapulco de Juárez, Guerrero",Acapulco de Juárez,Guerrero,4778.235294117647,4924.6274509803925,4791.392156862745,0.6470588235294118,0.39215686274509803,51
2,"Actopan, Hidalgo",Actopan,Hidalgo,1684.0,168.0,2468.0,1.0,2.0,1
4,"Aguascalientes, México",Aguascalientes,México,2.0,10.0,0.0,0.0,0.0,1
5,"Ahome, Sinaloa",Ahome,Sinaloa,536.5,742.0,11642.666666666666,0.3333333333333333,0.6666666666666666,6
6,"Aldama, Chihuahua",Aldama,Chihuahua,4417.0,4998.0,202283.0,0.0,1.0,1
7,"Ameca, Jalisco",Ameca,Jalisco,351.0,871.0,17540.0,0.0,2.0,1
8,"Amecameca, México",Amecameca,México,89.0,265.0,1153.0,0.0,0.0,1
9,"Amozoc, Puebla",Amozoc,Puebla,166.0,387.0,10686.0,0.0,0.0,1
11,"Anáhuac, Nuevo León",Anáhuac,Nuevo León,83.0,92.0,1432.0,0.0,2.0,1
12,"Apizaco, Tlaxcala",Apizaco,Tlaxcala,509.5,1180.5,4296.5,0.0,0.5,2
13,"Apodaca, Nuevo León",Apodaca,Nuevo León,404.2857142857143,976.0,16214.857142857143,0.0,0.42857142857142855,7
14,"Arandas, Jalisco",Arandas,Jalisco,44.0,45.0,1434.0,0.0,1.0,1
15,"Arizpe, Sonora",Arizpe,Sonora,292.0,545.0,2529.0,0.0,1.0,1
16,"Atizapán de Zaragoza, México",Atizapán de Zaragoza,México,4086.4,898.8,7528.8,1.0,1.4,5
17,"Azcapotzalco, Distrito Federal",Azcapotzalco,Distrito Federal,23281.85714285714,690.8571428571429,35461.142857142855,0.7142857142857143,15.428571428571429,7
18,"Banderilla, Veracruz de Ignacio de la Llave",Banderilla,Veracruz de Ignacio de la Llave,203.0,277.0,9263.0,0.0,2.0,1
19,"Benito Juárez, Distrito Federal",Benito Juárez,Distrito Federal,20210.59375,1960.9375,33534.5625,3.78125,21.9375,32
20,"Benito Juárez, Quintana Roo",Benito Juárez,Quintana Roo,1383.2631578947369,819.1052631578947,53542.68421052631,0.0,2.473684210526316,19
21,"Boca del Río, Veracruz de Ignacio de la Llave",Boca del Río,Veracruz de Ignacio de la Llave,561.2,559.6,4646.4,0.0,1.2,5
25,"Cabo Corrientes, Jalisco",Cabo Corrientes,Jalisco,1424.0,582.0,8278.0,0.0,4.0,1
26,"Cajeme, Sonora",Cajeme,Sonora,1301.0,1962.0,22681.0,0.0,0.0,1
27,"Campeche, México",Campeche,México,1830.6666666666667,2014.3333333333333,1430.0,0.0,1.3333333333333333,3
28,"Cananea, Sonora",Cananea,Sonora,63.0,299.0,940.0,0.0,0.0,1
29,"Carmen, Campeche",Carmen,Campeche,428.0,702.0,7690.5,0.0,1.0,2
30,"Celaya, Guanajuato",Celaya,Guanajuato,194.0,128.5,514.0,0.0,0.5,2
31,"Centro, Tabasco",Centro,Tabasco,628.0,796.6153846153846,21404.076923076922,0.0,0.5384615384615384,13
33,"Chihuahua, México",Chihuahua,México,3024.3333333333335,1217.1333333333334,12166.266666666666,0.06666666666666667,3.2666666666666666,15
34,"Chilpancingo de los Bravo, Guerrero",Chilpancingo de los Bravo,Guerrero,14.0,52.0,3418.0,0.0,1.0,1
35,"Chimalhuacán, México",Chimalhuacán,México,108.0,163.0,23127.0,0.0,2.0,1
36,"Ciudad Madero, Tamaulipas",Ciudad Madero,Tamaulipas,73.0,207.0,1361.0,0.0,1.0,1
37,"Ciudad Valles, San Luis Potosí",Ciudad Valles,San Luis Potosí,2791.0,2419.0,39912.0,0.0,1.0,1
38,"Coatzacoalcos, Veracruz de Ignacio de la Llave",Coatzacoalcos,Veracruz de Ignacio de la Llave,506.0,726.6666666666666,53124.333333333336,0.0,0.3333333333333333,3
40,"Colima, México",Colima,México,2521.5,1185.0,22499.0,3.5,8.0,2
41,"Colón, Querétaro Arteaga",Colón,Querétaro Arteaga,527.0,627.0,1999.0,0.0,0.0,1
42,"Comalcalco, Tabasco",Comalcalco,Tabasco,347.0,210.0,2092.0,0.0,0.0,1
43,"Comitán de Domínguez, Chiapas",Comitán de Domínguez,Chiapas,483.0,1457.0,9602.333333333334,0.0,0.3333333333333333,3
44,"Corregidora, Querétaro Arteaga",Corregidora,Querétaro Arteaga,104.0,65.0,711.0,0.0,0.0,1
45,"Coyoacán, Distrito Federal",Coyoacán,Distrito Federal,1101.7142857142858,1430.904761904762,25535.190476190477,0.9047619047619048,2.6666666666666665,21
46,"Coyutla, Veracruz de Ignacio de la Llave",Coyutla,Veracruz de Ignacio de la Llave,1840.0,179.0,13288.0,0.0,1.0,1
47,"Cuauhtémoc, Chihuahua",Cuauhtémoc,Chihuahua,226.0,293.0,4207.0,0.0,0.0,1
48,"Cuauhtémoc, Distrito Federal",Cuauhtémoc,Distrito Federal,1824.9333333333334,1176.1333333333334,10824.288888888888,0.28888888888888886,3.511111111111111,45
49,"Cuautitlán Izcalli, México",Cuautitlán Izcalli,México,299.0,758.5,2865.0,0.0,0.0,2
50,"Cuautla, Morelos",Cuautla,Morelos,84.0,713.0,610.0,0.0,0.0,1
51,"Cuernavaca, Morelos",Cuernavaca,Morelos,2203.923076923077,812.3076923076923,13092.153846153846,0.46153846153846156,3.923076923076923,13
52,"Culiacán, Sinaloa",Culiacán,Sinaloa,957.6666666666666,1226.2222222222222,16102.111111111111,0.3888888888888889,1.3333333333333333,18
54,"Córdoba, Veracruz de Ignacio de la Llave",Córdoba,Veracruz de Ignacio de la Llave,227.0,152.0,3218.0,0.0,0.0,1
55,"Delicias, Chihuahua",Delicias,Chihuahua,2112.0,1419.0,5660.0,0.0,0.0,8
56,"Distrito Federal, México",Distrito Federal,México,2226.5714285714284,727.8571428571429,22400.714285714286,4.142857142857143,35.285714285714285,7
