,cve_ent_mun,Amenazas,Daño a la propiedad,Extorsión,Robo a negocio
0,1001,3010.0,3370.0,88.0,1669.0
1,1002,96.0,116.0,1.0,45.0
2,1003,60.0,139.0,3.0,54.0
3,1004,17.0,35.0,4.0,22.0
4,1005,270.0,404.0,7.0,224.0
5,1006,95.0,107.0,8.0,94.0
6,1007,82.0,131.0,7.0,90.0
7,1008,15.0,27.0,0.0,8.0
8,1009,23.0,38.0,3.0,15.0
9,1010,64.0,57.0,1.0,16.0
10,1011,137.0,188.0,4.0,140.0
11,2001,825.0,1633.0,20.0,396.0
12,2002,2146.0,3367.0,73.0,2125.0
13,2003,173.0,434.0,6.0,104.0
14,2004,1806.0,2984.0,58.0,2647.0
15,2005,179.0,381.0,2.0,122.0
16,3001,100.0,97.0,7.0,68.0
17,3002,87.0,77.0,4.0,45.0
18,3003,771.0,739.0,37.0,297.0
19,3008,717.0,568.0,59.0,396.0
20,3009,19.0,45.0,1.0,16.0
21,4001,0.0,3.0,0.0,4.0
22,4002,49.0,58.0,5.0,93.0
23,4003,5.0,74.0,9.0,128.0
24,4004,0.0,8.0,0.0,3.0
25,4005,0.0,1.0,0.0,2.0
26,4006,0.0,0.0,1.0,0.0
27,4007,0.0,0.0,0.0,0.0
28,4008,0.0,2.0,0.0,0.0
29,4009,1.0,4.0,1.0,7.0
30,4010,0.0,3.0,1.0,1.0
31,4011,0.0,4.0,0.0,3.0
32,5001,5.0,0.0,0.0,0.0
33,5002,445.0,688.0,1.0,7.0
34,5003,40.0,52.0,1.0,2.0
35,5004,50.0,105.0,1.0,10.0
36,5005,3.0,0.0,0.0,0.0
37,5006,39.0,81.0,0.0,8.0
38,5007,13.0,38.0,0.0,2.0
39,5008,2.0,1.0,0.0,0.0
40,5009,46.0,56.0,0.0,12.0
41,5010,106.0,196.0,2.0,46.0
42,5011,15.0,32.0,0.0,0.0
43,5012,6.0,0.0,0.0,0.0
44,5013,0.0,0.0,0.0,0.0
45,5014,38.0,3.0,0.0,0.0
46,5015,0.0,0.0,0.0,0.0
47,5016,2.0,3.0,0.0,0.0
48,5017,209.0,188.0,0.0,59.0
49,5018,279.0,626.0,6.0,157.0
50,5019,7.0,14.0,0.0,1.0
51,5020,70.0,200.0,4.0,17.0
52,5021,7.0,5.0,0.0,0.0
53,5022,21.0,50.0,0.0,2.0
54,5023,5.0,16.0,0.0,2.0
55,5024,59.0,130.0,0.0,8.0
56,5025,386.0,827.0,6.0,54.0
57,5026,0.0,0.0,0.0,0.0
58,5027,119.0,532.0,2.0,71.0
59,5028,87.0,212.0,0.0,39.0
60,5029,3.0,2.0,0.0,2.0
61,5030,1642.0,1264.0,3.0,83.0
62,5031,28.0,66.0,0.0,1.0
63,5032,29.0,91.0,0.0,11.0
64,5033,103.0,179.0,3.0,47.0
65,5034,0.0,0.0,0.0,0.0
66,5035,1808.0,1695.0,14.0,540.0
67,5036,18.0,16.0,0.0,4.0
68,5037,3.0,10.0,0.0,0.0
69,5038,1.0,3.0,0.0,2.0
70,6001,48.0,67.0,3.0,9.0
71,6002,852.0,921.0,34.0,324.0
72,6003,89.0,105.0,5.0,9.0
73,6004,96.0,74.0,2.0,1.0
74,6005,98.0,139.0,5.0,11.0
75,6006,27.0,36.0,0.0,1.0
76,6007,1153.0,993.0,36.0,235.0
77,6008,36.0,41.0,1.0,0.0
78,6009,455.0,380.0,28.0,162.0
79,6010,437.0,529.0,3.0,161.0
80,7001,0.0,0.0,1.0,0.0
81,7002,1.0,2.0,0.0,0.0
82,7003,1.0,1.0,0.0,0.0
83,7004,0.0,0.0,0.0,0.0
84,7005,0.0,0.0,0.0,0.0
85,7006,0.0,0.0,0.0,0.0
86,7007,0.0,1.0,0.0,1.0
87,7008,2.0,2.0,1.0,0.0
88,7009,0.0,5.0,0.0,6.0
89,7010,0.0,0.0,0.0,0.0
90,7011,0.0,0.0,0.0,0.0
91,7012,1.0,17.0,0.0,7.0
92,7013,2.0,0.0,0.0,0.0
93,7014,0.0,0.0,0.0,0.0
94,7015,2.0,7.0,0.0,3.0
95,7016,0.0,6.0,0.0,0.0
96,7017,2.0,9.0,5.0,14.0
97,7018,0.0,0.0,0.0,0.0
98,7019,129.0,63.0,2.0,2.0
99,7020,0.0,2.0,0.0,1.0
100,7021,0.0,1.0,0.0,0.0
101,7022,0.0,0.0,0.0,0.0
102,7023,0.0,0.0,0.0,0.0
103,7024,0.0,0.0,0.0,0.0
104,7025,0.0,1.0,0.0,0.0
105,7026,0.0,0.0,0.0,0.0
106,7027,10.0,50.0,3.0,1.0
107,7028,0.0,2.0,0.0,0.0
108,7029,0.0,0.0,0.0,0.0
109,7030,0.0,0.0,0.0,0.0
110,7031,1.0,1.0,2.0,1.0
111,7032,2.0,1.0,0.0,0.0
112,7033,0.0,0.0,0.0,0.0
113,7034,0.0,3.0,0.0,0.0
114,7035,2.0,3.0,0.0,1.0
115,7036,0.0,0.0,0.0,0.0
116,7037,3.0,9.0,0.0,1.0
117,7038,0.0,0.0,0.0,0.0
118,7039,0.0,0.0,0.0,0.0
119,7040,7.0,43.0,1.0,7.0
120,7041,3.0,0.0,0.0,0.0
121,7042,0.0,0.0,0.0,0.0
122,7043,0.0,0.0,0.0,1.0
123,7044,0.0,0.0,0.0,0.0
124,7045,0.0,0.0,0.0,0.0
125,7046,1.0,2.0,0.0,1.0
126,7047,0.0,0.0,0.0,0.0
127,7048,0.0,3.0,0.0,0.0
128,7049,0.0,1.0,0.0,0.0
129,7050,0.0,0.0,0.0,0.0
130,7051,0.0,5.0,1.0,1.0
131,7052,1.0,4.0,0.0,0.0
132,7053,0.0,0.0,0.0,0.0
133,7054,0.0,13.0,1.0,0.0
134,7055,0.0,0.0,0.0,0.0
135,7056,0.0,0.0,0.0,0.0
136,7057,0.0,3.0,1.0,3.0
137,7058,0.0,0.0,0.0,0.0
138,7059,0.0,9.0,2.0,3.0
139,7060,0.0,0.0,0.0,0.0
140,7061,6.0,4.0,0.0,4.0
141,7062,0.0,1.0,0.0,0.0
142,7063,0.0,0.0,0.0,0.0
143,7064,1.0,2.0,0.0,0.0
144,7065,29.0,40.0,8.0,4.0
145,7066,0.0,0.0,0.0,0.0
146,7067,0.0,0.0,0.0,0.0
147,7068,4.0,2.0,0.0,1.0
148,7069,2.0,3.0,1.0,9.0
149,7070,0.0,0.0,0.0,0.0
150,7071,0.0,4.0,1.0,0.0
151,7072,0.0,1.0,0.0,0.0
152,7073,0.0,0.0,0.0,1.0
153,7074,3.0,15.0,0.0,3.0
154,7075,0.0,0.0,0.0,1.0
155,7076,0.0,0.0,0.0,0.0
156,7077,0.0,0.0,0.0,0.0
157,7078,26.0,97.0,4.0,32.0
158,7079,2.0,1.0,0.0,0.0
159,7080,0.0,0.0,0.0,0.0
160,7081,0.0,0.0,0.0,0.0
161,7082,0.0,0.0,0.0,0.0
162,7083,0.0,1.0,0.0,0.0
163,7084,0.0,0.0,0.0,0.0
164,7085,0.0,0.0,1.0,0.0
165,7086,0.0,6.0,0.0,0.0
166,7087,7.0,20.0,2.0,0.0
167,7088,0.0,0.0,0.0,0.0
168,7089,42.0,160.0,18.0,75.0
169,7090,0.0,0.0,0.0,0.0
170,7091,0.0,0.0,0.0,0.0
171,7092,0.0,0.0,0.0,0.0
172,7093,0.0,0.0,0.0,0.0
173,7094,1.0,3.0,0.0,3.0
174,7096,0.0,2.0,0.0,0.0
175,7097,2.0,13.0,0.0,2.0
176,7098,0.0,0.0,0.0,0.0
177,7099,2.0,7.0,0.0,0.0
178,7100,0.0,0.0,0.0,0.0
179,7101,227.0,373.0,25.0,169.0
180,7102,6.0,13.0,1.0,1.0
181,7103,3.0,16.0,0.0,0.0
182,7104,7.0,1.0,0.0,0.0
183,7105,0.0,0.0,0.0,0.0
184,7106,1.0,1.0,0.0,0.0
185,7107,5.0,6.0,0.0,1.0
186,7108,2.0,33.0,1.0,4.0
187,7109,1.0,2.0,0.0,0.0
188,7110,0.0,0.0,0.0,0.0
189,7111,0.0,0.0,0.0,0.0
190,7112,0.0,0.0,0.0,0.0
191,7113,0.0,0.0,0.0,0.0
192,7114,0.0,2.0,0.0,1.0
193,7115,0.0,0.0,0.0,0.0
194,7116,1.0,0.0,0.0,0.0
195,7117,0.0,1.0,0.0,0.0
196,7118,0.0,0.0,0.0,0.0
197,7119,0.0,0.0,0.0,0.0
198,7120,0.0,0.0,0.0,0.0
199,7121,0.0,0.0,0.0,0.0
200,7122,0.0,1.0,0.0,0.0
201,7123,0.0,0.0,0.0,0.0
