"imun","mun","idmes","mes","asegurados"
"1001","Aguascalientes","201901","2019-01",263074
"1001","Aguascalientes","201902","2019-02",263713
"1001","Aguascalientes","201903","2019-03",264594
"1001","Aguascalientes","201904","2019-04",265194
"1001","Aguascalientes","201905","2019-05",263724
"1001","Aguascalientes","201906","2019-06",267435
"1001","Aguascalientes","201907","2019-07",277291
"1001","Aguascalientes","201908","2019-08",278341
"1001","Aguascalientes","201909","2019-09",280129
"1001","Aguascalientes","201910","2019-10",277931
"1001","Aguascalientes","201911","2019-11",274485
"1001","Aguascalientes","201912","2019-12",265720
"1001","Aguascalientes","202001","2020-01",271747
"1001","Aguascalientes","202002","2020-02",275046
"1001","Aguascalientes","202003","2020-03",272172
"1001","Aguascalientes","202004","2020-04",265912
"1001","Aguascalientes","202005","2020-05",263699
"1001","Aguascalientes","202006","2020-06",260651
"1001","Aguascalientes","202007","2020-07",260132
"1001","Aguascalientes","202008","2020-08",260791
"1001","Aguascalientes","202009","2020-09",262996
"1001","Aguascalientes","202010","2020-10",261061
"1002","Asientos","201901","2019-01",1250
"1002","Asientos","201902","2019-02",1250
"1002","Asientos","201903","2019-03",1222
"1002","Asientos","201904","2019-04",1213
"1002","Asientos","201905","2019-05",1193
"1002","Asientos","201906","2019-06",1209
"1002","Asientos","201907","2019-07",1187
"1002","Asientos","201908","2019-08",1178
"1002","Asientos","201909","2019-09",1160
"1002","Asientos","201910","2019-10",1147
"1002","Asientos","201911","2019-11",1081
"1002","Asientos","201912","2019-12",1126
"1002","Asientos","202001","2020-01",1121
"1002","Asientos","202002","2020-02",1196
"1002","Asientos","202003","2020-03",1206
"1002","Asientos","202004","2020-04",1144
"1002","Asientos","202005","2020-05",1149
"1002","Asientos","202006","2020-06",1205
"1002","Asientos","202007","2020-07",1140
"1002","Asientos","202008","2020-08",1129
"1002","Asientos","202009","2020-09",1143
"1002","Asientos","202010","2020-10",1138
"1003","Calvillo","201901","2019-01",4947
"1003","Calvillo","201902","2019-02",4956
"1003","Calvillo","201903","2019-03",4983
"1003","Calvillo","201904","2019-04",4986
"1003","Calvillo","201905","2019-05",4965
"1003","Calvillo","201906","2019-06",4961
"1003","Calvillo","201907","2019-07",4986
"1003","Calvillo","201908","2019-08",4934
"1003","Calvillo","201909","2019-09",5003
"1003","Calvillo","201910","2019-10",5121
"1003","Calvillo","201911","2019-11",5125
"1003","Calvillo","201912","2019-12",5017
"1003","Calvillo","202001","2020-01",5191
"1003","Calvillo","202002","2020-02",5251
"1003","Calvillo","202003","2020-03",5106
"1003","Calvillo","202004","2020-04",5061
"1003","Calvillo","202005","2020-05",4988
"1003","Calvillo","202006","2020-06",4863
"1003","Calvillo","202007","2020-07",4910
"1003","Calvillo","202008","2020-08",5047
"1003","Calvillo","202009","2020-09",5078
"1003","Calvillo","202010","2020-10",5105
"1004","Cosío","201901","2019-01",1661
"1004","Cosío","201902","2019-02",1699
"1004","Cosío","201903","2019-03",1682
"1004","Cosío","201904","2019-04",1665
"1004","Cosío","201905","2019-05",1566
"1004","Cosío","201906","2019-06",1499
"1004","Cosío","201907","2019-07",1455
"1004","Cosío","201908","2019-08",1390
"1004","Cosío","201909","2019-09",1399
"1004","Cosío","201910","2019-10",1234
"1004","Cosío","201911","2019-11",1264
"1004","Cosío","201912","2019-12",1507
"1004","Cosío","202001","2020-01",1610
"1004","Cosío","202002","2020-02",1662
"1004","Cosío","202003","2020-03",1641
"1004","Cosío","202004","2020-04",1473
"1004","Cosío","202005","2020-05",1447
"1004","Cosío","202006","2020-06",1379
"1004","Cosío","202007","2020-07",1460
"1004","Cosío","202008","2020-08",1576
"1004","Cosío","202009","2020-09",1662
"1004","Cosío","202010","2020-10",1715
"1006","Pabellón de Arteaga","201901","2019-01",2753
"1006","Pabellón de Arteaga","201902","2019-02",2800
"1006","Pabellón de Arteaga","201903","2019-03",2805
"1006","Pabellón de Arteaga","201904","2019-04",2770
"1006","Pabellón de Arteaga","201905","2019-05",2742
"1006","Pabellón de Arteaga","201906","2019-06",2748
"1006","Pabellón de Arteaga","201907","2019-07",2746
"1006","Pabellón de Arteaga","201908","2019-08",2734
"1006","Pabellón de Arteaga","201909","2019-09",2817
"1006","Pabellón de Arteaga","201910","2019-10",2981
"1006","Pabellón de Arteaga","201911","2019-11",3011
"1006","Pabellón de Arteaga","201912","2019-12",2990
"1006","Pabellón de Arteaga","202001","2020-01",3142
"1006","Pabellón de Arteaga","202002","2020-02",3177
"1006","Pabellón de Arteaga","202003","2020-03",3513
"1006","Pabellón de Arteaga","202004","2020-04",3294
"1006","Pabellón de Arteaga","202005","2020-05",3142
"1006","Pabellón de Arteaga","202006","2020-06",3134
"1006","Pabellón de Arteaga","202007","2020-07",3193
"1006","Pabellón de Arteaga","202008","2020-08",3220
"1006","Pabellón de Arteaga","202009","2020-09",3105
"1006","Pabellón de Arteaga","202010","2020-10",3134
"1007","Rincón de Romos","201901","2019-01",3912
"1007","Rincón de Romos","201902","2019-02",3904
"1007","Rincón de Romos","201903","2019-03",3952
"1007","Rincón de Romos","201904","2019-04",3792
"1007","Rincón de Romos","201905","2019-05",3985
"1007","Rincón de Romos","201906","2019-06",3974
"1007","Rincón de Romos","201907","2019-07",4072
"1007","Rincón de Romos","201908","2019-08",3975
"1007","Rincón de Romos","201909","2019-09",4007
"1007","Rincón de Romos","201910","2019-10",3976
"1007","Rincón de Romos","201911","2019-11",4091
"1007","Rincón de Romos","201912","2019-12",3907
"1007","Rincón de Romos","202001","2020-01",4040
"1007","Rincón de Romos","202002","2020-02",4155
"1007","Rincón de Romos","202003","2020-03",4276
"1007","Rincón de Romos","202004","2020-04",4202
"1007","Rincón de Romos","202005","2020-05",4336
"1007","Rincón de Romos","202006","2020-06",4297
"1007","Rincón de Romos","202007","2020-07",4392
"1007","Rincón de Romos","202008","2020-08",4226
"1007","Rincón de Romos","202009","2020-09",4382
"1007","Rincón de Romos","202010","2020-10",4377
"1008","San José de Gracia","201901","2019-01",373
"1008","San José de Gracia","201902","2019-02",379
"1008","San José de Gracia","201903","2019-03",363
"1008","San José de Gracia","201904","2019-04",372
"1008","San José de Gracia","201905","2019-05",366
"1008","San José de Gracia","201906","2019-06",354
"1008","San José de Gracia","201907","2019-07",351
"1008","San José de Gracia","201908","2019-08",318
"1008","San José de Gracia","201909","2019-09",329
"1008","San José de Gracia","201910","2019-10",285
"1008","San José de Gracia","201911","2019-11",291
"1008","San José de Gracia","201912","2019-12",290
"1008","San José de Gracia","202001","2020-01",286
"1008","San José de Gracia","202002","2020-02",283
"1008","San José de Gracia","202003","2020-03",283
"1008","San José de Gracia","202004","2020-04",271
"1008","San José de Gracia","202005","2020-05",275
"1008","San José de Gracia","202006","2020-06",279
"1008","San José de Gracia","202007","2020-07",282
"1008","San José de Gracia","202008","2020-08",277
"1008","San José de Gracia","202009","2020-09",275
"1008","San José de Gracia","202010","2020-10",278
"1009","Tepezalá","201901","2019-01",1783
"1009","Tepezalá","201902","2019-02",1769
"1009","Tepezalá","201903","2019-03",1997
"1009","Tepezalá","201904","2019-04",2058
"1009","Tepezalá","201905","2019-05",1958
"1009","Tepezalá","201906","2019-06",1843
"1009","Tepezalá","201907","2019-07",1777
"1009","Tepezalá","201908","2019-08",1769
"1009","Tepezalá","201909","2019-09",1773
"1009","Tepezalá","201910","2019-10",1735
"1009","Tepezalá","201911","2019-11",1713
"1009","Tepezalá","201912","2019-12",1694
"1009","Tepezalá","202001","2020-01",1877
"1009","Tepezalá","202002","2020-02",1876
"1009","Tepezalá","202003","2020-03",1880
"1009","Tepezalá","202004","2020-04",1866
