"cve_ent","cve_mun","anio","mes","asegurados","casos_diarios","muertos_diarios","hospitalizados_diarios"
"10","001",2020,1,1902,0,0,0
"10","001",2020,2,1795,0,0,0
"10","001",2020,3,1799,0,0,0
"10","001",2020,4,1643,0,0,0
"10","001",2020,5,1654,2,1,2
"10","001",2020,6,1689,3,2,3
"10","001",2020,7,1758,23,1,2
"10","001",2020,8,1868,9,2,5
"10","001",2020,9,1797,45,3,5
"10","001",2020,10,1707,59,3,7
"10","002",2020,1,73,0,0,0
"10","002",2020,2,77,0,0,0
"10","002",2020,3,76,0,0,0
"10","002",2020,4,61,0,0,0
"10","002",2020,5,73,0,0,0
"10","002",2020,6,74,0,0,0
"10","002",2020,7,74,0,0,0
"10","002",2020,8,79,0,0,0
"10","002",2020,9,80,0,0,0
"10","002",2020,10,84,0,0,0
"10","004",2020,1,2940,0,0,0
"10","004",2020,2,2946,0,0,0
"10","004",2020,3,2940,0,0,0
"10","004",2020,4,2755,0,0,0
"10","004",2020,5,2758,0,0,0
"10","004",2020,6,2714,4,0,0
"10","004",2020,7,2656,7,1,3
"10","004",2020,8,2745,51,0,2
"10","004",2020,9,2756,17,2,1
"10","004",2020,10,2767,51,6,9
"10","005",2020,1,118136,0,0,0
"10","005",2020,2,119103,0,0,0
"10","005",2020,3,118550,5,0,1
"10","005",2020,4,116278,19,2,7
"10","005",2020,5,114485,131,13,35
"10","005",2020,6,114221,742,38,117
"10","005",2020,7,114754,975,64,144
"10","005",2020,8,115498,1276,78,141
"10","005",2020,9,116005,1558,70,149
"10","005",2020,10,117670,3583,137,293
"10","006",2020,1,12,0,0,0
"10","006",2020,2,12,0,0,0
"10","006",2020,3,13,0,0,0
"10","006",2020,4,13,2,0,1
"10","006",2020,5,13,0,0,0
"10","006",2020,6,11,1,0,1
"10","006",2020,7,11,1,0,0
"10","006",2020,8,11,0,0,0
"10","006",2020,9,11,1,0,0
"10","006",2020,10,11,2,1,2
"10","007",2020,1,81246,0,0,0
"10","007",2020,2,82387,0,0,0
"10","007",2020,3,82121,7,3,4
"10","007",2020,4,81322,10,1,3
"10","007",2020,5,80982,188,14,51
"10","007",2020,6,80750,660,51,106
"10","007",2020,7,79752,822,77,110
"10","007",2020,8,79045,589,58,109
"10","007",2020,9,79925,509,47,61
"10","007",2020,10,81076,1199,62,145
"10","009",2020,1,873,0,0,0
"10","009",2020,2,890,0,0,0
"10","009",2020,3,892,0,0,0
"10","009",2020,4,872,0,0,0
"10","009",2020,5,830,0,0,0
"10","009",2020,6,873,0,0,0
"10","009",2020,7,876,0,0,0
"10","009",2020,8,892,2,1,1
"10","009",2020,9,924,2,1,2
"10","009",2020,10,909,2,0,2
"1","001",2020,1,271747,0,0,0
"1","001",2020,2,275046,1,0,0
"1","001",2020,3,272172,45,0,3
"1","001",2020,4,265912,208,8,28
"1","001",2020,5,263699,514,36,145
"1","001",2020,6,260651,1165,100,297
"1","001",2020,7,260132,1266,98,316
"1","001",2020,8,260791,1375,149,473
"1","001",2020,9,262996,1359,184,395
"1","001",2020,10,261061,2335,166,450
"10","011",2020,1,328,0,0,0
"10","011",2020,2,292,0,0,0
"10","011",2020,3,286,0,0,0
"10","011",2020,4,286,0,0,0
"10","011",2020,5,288,0,0,0
"10","011",2020,6,301,1,1,1
"10","011",2020,7,295,0,0,0
"10","011",2020,8,295,2,0,1
"10","011",2020,9,303,0,0,0
"10","011",2020,10,304,7,0,0
"10","012",2020,1,12400,0,0,0
"10","012",2020,2,12308,0,0,0
"10","012",2020,3,12346,0,0,0
"10","012",2020,4,12186,4,0,2
"10","012",2020,5,11909,24,2,7
"10","012",2020,6,11351,161,7,18
"10","012",2020,7,10956,235,11,29
"10","012",2020,8,11104,220,15,35
