"imun","idmes","asegurados","casos_diarios_prom","muertos_diarios_prom","hospitalizados_diarios_prom","tasa_empleabilidad"
1001,201901,263074,0,0,0,0
1001,201902,263713,0,0,0,639
1001,201903,264594,0,0,0,881
1001,201904,265194,0,0,0,600
1001,201905,263724,0,0,0,-1470
1001,201906,267435,0,0,0,3711
1001,201907,277291,0,0,0,9856
1001,201908,278341,0,0,0,1050
1001,201909,280129,0,0,0,1788
1001,201910,277931,0,0,0,-2198
1001,201911,274485,0,0,0,-3446
1001,201912,265720,0,0,0,-8765
1001,202001,271747,0,0,0,6027
1001,202002,275046,1,0,0,3299
1001,202003,272172,45,0,3,-2874
1001,202004,265912,208,8,28,-6260
1001,202005,263699,514,36,145,-2213
1001,202006,260651,1165,100,297,-3048
1001,202007,260132,1266,98,316,-519
1001,202008,260791,1375,149,473,659
1001,202009,262996,1359,184,395,2205
1001,202010,261061,2335,166,450,-1935
1002,201901,1250,0,0,0,0
1002,201902,1250,0,0,0,0
1002,201903,1222,0,0,0,-28
1002,201904,1213,0,0,0,-9
1002,201905,1193,0,0,0,-20
1002,201906,1209,0,0,0,16
1002,201907,1187,0,0,0,-22
1002,201908,1178,0,0,0,-9
1002,201909,1160,0,0,0,-18
1002,201910,1147,0,0,0,-13
1002,201911,1081,0,0,0,-66
1002,201912,1126,0,0,0,45
1002,202001,1121,0,0,0,-5
1002,202002,1196,0,0,0,75
1002,202003,1206,1,0,0,10
1002,202004,1144,1,0,0,-62
1002,202005,1149,7,0,1,5
1002,202006,1205,21,3,9,56
1002,202007,1140,42,4,8,-65
1002,202008,1129,17,0,6,-11
1002,202009,1143,12,1,7,14
1002,202010,1138,46,1,11,-5
1003,201901,4947,0,0,0,0
1003,201902,4956,0,0,0,9
1003,201903,4983,0,0,0,27
1003,201904,4986,0,0,0,3
1003,201905,4965,0,0,0,-21
1003,201906,4961,0,0,0,-4
1003,201907,4986,0,0,0,25
1003,201908,4934,0,0,0,-52
1003,201909,5003,0,0,0,69
1003,201910,5121,0,0,0,118
1003,201911,5125,0,0,0,4
