"imun","mun","idmes","mes","casos_diarios","muertos_diarios","hospitalizados_diarios"
"1001","Aguascalientes","1","2020-01",0,0,0
"1001","Aguascalientes","1","2021-01",3079,230,524
"1001","Aguascalientes","2","2020-02",1,0,0
"1001","Aguascalientes","3","2020-03",45,0,3
"1001","Aguascalientes","4","2020-04",208,8,28
"1001","Aguascalientes","5","2020-05",514,36,145
"1001","Aguascalientes","6","2020-06",1165,100,297
"1001","Aguascalientes","7","2020-07",1266,98,316
"1001","Aguascalientes","8","2020-08",1375,149,473
"1001","Aguascalientes","9","2020-09",1359,184,395
"1001","Aguascalientes","10","2020-10",2335,166,450
"1001","Aguascalientes","11","2020-11",3627,298,610
"1001","Aguascalientes","12","2020-12",2361,254,385
"1002","Asientos","1","2021-01",61,3,12
"1002","Asientos","2","2020-02",0,0,0
"1002","Asientos","3","2020-03",1,0,0
"1002","Asientos","4","2020-04",1,0,0
"1002","Asientos","5","2020-05",7,0,1
"1002","Asientos","6","2020-06",21,3,9
"1002","Asientos","7","2020-07",42,4,8
"1002","Asientos","8","2020-08",17,0,6
"1002","Asientos","9","2020-09",12,1,7
"1002","Asientos","10","2020-10",46,1,11
"1002","Asientos","11","2020-11",88,5,15
"1002","Asientos","12","2020-12",73,5,9
"1003","Calvillo","1","2020-01",0,0,0
"1003","Calvillo","1","2021-01",174,2,16
"1003","Calvillo","2","2020-02",0,0,0
"1003","Calvillo","3","2020-03",0,0,0
"1003","Calvillo","4","2020-04",9,0,0
"1003","Calvillo","5","2020-05",2,0,0
"1003","Calvillo","6","2020-06",25,2,4
"1003","Calvillo","7","2020-07",89,1,8
"1003","Calvillo","8","2020-08",18,2,4
"1003","Calvillo","9","2020-09",41,0,4
"1003","Calvillo","10","2020-10",64,4,11
"1003","Calvillo","11","2020-11",176,3,11
"1003","Calvillo","12","2020-12",116,5,11
"1004","Cosío","1","2021-01",3,0,1
"1004","Cosío","5","2020-05",17,0,2
"1004","Cosío","6","2020-06",25,0,2
"1004","Cosío","7","2020-07",25,0,5
"1004","Cosío","8","2020-08",17,1,8
"1004","Cosío","9","2020-09",2,1,1
"1004","Cosío","10","2020-10",6,0,2
"1004","Cosío","11","2020-11",11,4,5
"1004","Cosío","12","2020-12",2,0,0
"1005","Jesús María","1","2020-01",0,0,0
"1005","Jesús María","1","2021-01",70,4,10
"1005","Jesús María","2","2020-02",0,0,0
"1005","Jesús María","3","2020-03",1,0,0
